Número de personas en el hogar;Número de perceptores de ingresos en el hogar;Periodo;Total
Total;Total;2025T4;19.853,4
Total;Total;2025T3;19.767,9
Total;Total;2025T2;19.744,4
Total;Total;2025T1;19.672,3
Total;Total;2024T4;19.595,2
Total;Total;2024T3;19.547,5
Total;Total;2024T2;19.494,8
Total;Total;2024T1;19.510,6
Total;Total;2023T4;19.459,7
Total;Total;2023T3;19.398,4
Total;Total;2023T2;19.345,2
Total;Total;2023T1;19.272,6
Total;Total;2022T4;19.194,3
Total;Total;2022T3;19.115,6
Total;Total;2022T2;19.039,9
Total;Total;2022T1;18.963,3
Total;Total;2021T4;18.883,2
Total;Total;2021T3;18.786,9
Total;Total;2021T2;18.704,5
Total;Total;2021T1;18.610
Total;Total;2020T4;18.817,8
Total;Total;2020T3;18.799,4
Total;Total;2020T2;18.784,4
Total;Total;2020T1;18.773,9
Total;Total;2019T4;18.746,9
Total;Total;2019T3;18.709,8
Total;Total;2019T2;18.677,1
Total;Total;2019T1;18.652,4
Total;Total;2018T4;18.625
Total;Total;2018T3;18.589,5
Total;Total;2018T2;18.562,2
Total;Total;2018T1;18.545,9
Total;Total;2017T4;18.529,7
Total;Total;2017T3;18.515,3
Total;Total;2017T2;18.505,2
Total;Total;2017T1;18.500
Total;Total;2016T4;18.486,4
Total;Total;2016T3;18.455,8
Total;Total;2016T2;18.426,2
Total;Total;2016T1;18.408,3
Total;Total;2015T4;18.395,1
Total;Total;2015T3;18.378,1
Total;Total;2015T2;18.367,2
Total;Total;2015T1;18.363,5
Total;Total;2014T4;18.362
Total;Total;2014T3;18.355,7
Total;Total;2014T2;18.331,4
Total;Total;2014T1;18.266,5
Total;Total;2013T4;18.245,1
Total;Total;2013T3;18.220,4
Total;Total;2013T2;18.204,1
Total;Total;2013T1;18.180,3
Total;Total;2012T4;18.154,1
Total;Total;2012T3;18.109
Total;Total;2012T2;18.067,8
Total;Total;2012T1;18.032,7
Total;Total;2011T4;17.995,8
Total;Total;2011T3;17.928,3
Total;Total;2011T2;17.862,8
Total;Total;2011T1;17.802,4
Total;Total;2010T4;17.746,5
Total;Total;2010T3;17.675,7
Total;Total;2010T2;17.610,4
Total;Total;2010T1;17.548,3
Total;Total;2009T4;17.490,8
Total;Total;2009T3;17.418,6
Total;Total;2009T2;17.348,4
Total;Total;2009T1;17.279,3
Total;Total;2008T4;17.211,6
Total;Total;2008T3;17.117,2
Total;Total;2008T2;17.020,4
Total;Total;2008T1;16.921,8
Total;Total;2007T4;16.824,6
Total;Total;2007T3;16.699,9
Total;Total;2007T2;16.581,4
Total;Total;2007T1;16.466,2
Total;Total;2006T4;16.350,4
Total;Total;2006T3;16.229,8
Total;Total;2006T2;16.120,5
Total;Total;2006T1;16.018,4
Total;Total;2005T4;15.922,7
Total;Total;2005T3;15.811,9
Total;Total;2005T2;15.708,6
Total;Total;2005T1;15.595,9
Total;Total;2004T4;15.489,8
Total;Total;2004T3;15.369,1
Total;Total;2004T2;15.266,6
Total;Total;2004T1;15.171,8
Total;Total;2003T4;15.082,8
Total;Total;2003T3;14.977,6
Total;Total;2003T2;14.877
Total;Total;2003T1;14.771,6
Total;Total;2002T4;14.669,2
Total;Total;2002T3;14.552,3
Total;Total;2002T2;14.442,6
Total;Total;2002T1;14.333,6
Total;0;2025T4;501,4
Total;0;2025T3;530,2
Total;0;2025T2;530,4
Total;0;2025T1;526,9
Total;0;2024T4;518,3
Total;0;2024T3;550,4
Total;0;2024T2;523,1
Total;0;2024T1;561,5
Total;0;2023T4;568,9
Total;0;2023T3;577
Total;0;2023T2;524,4
Total;0;2023T1;565,1
Total;0;2022T4;575,6
Total;0;2022T3;541,7
Total;0;2022T2;565,8
Total;0;2022T1;567,8
Total;0;2021T4;553
Total;0;2021T3;599,7
Total;0;2021T2;607,3
Total;0;2021T1;637,1
Total;0;2020T4;609,9
Total;0;2020T3;597,8
Total;0;2020T2;670,9
Total;0;2020T1;597
Total;0;2019T4;565,3
Total;0;2019T3;563,7
Total;0;2019T2;544,7
Total;0;2019T1;589,9
Total;0;2018T4;593,5
Total;0;2018T3;617,2
Total;0;2018T2;616,2
Total;0;2018T1;608,6
Total;0;2017T4;585
Total;0;2017T3;600,7
Total;0;2017T2;602,8
Total;0;2017T1;648,3
Total;0;2016T4;629,7
Total;0;2016T3;666,6
Total;0;2016T2;693,6
Total;0;2016T1;719,1
Total;0;2015T4;712,3
Total;0;2015T3;721,9
Total;0;2015T2;757,2
Total;0;2015T1;770,7
Total;0;2014T4;731
Total;0;2014T3;728,3
Total;0;2014T2;740,5
Total;0;2014T1;768,8
Total;0;2013T4;773,2
Total;0;2013T3;736
Total;0;2013T2;725,3
Total;0;2013T1;736,9
Total;0;2012T4;720,1
Total;0;2012T3;688,9
Total;0;2012T2;646,1
Total;0;2012T1;643,3
Total;0;2011T4;630,1
Total;0;2011T3;605,3
Total;0;2011T2;589,5
Total;0;2011T1;557,6
Total;0;2010T4;525,5
Total;0;2010T3;517,3
Total;0;2010T2;486,3
Total;0;2010T1;474,3
Total;0;2009T4;492,8
Total;0;2009T3;521,4
Total;0;2009T2;516,3
Total;0;2009T1;497,2
Total;0;2008T4;470,6
Total;0;2008T3;456,7
Total;0;2008T2;394,9
Total;0;2008T1;385,8
Total;0;2007T4;379,9
Total;0;2007T3;377,3
Total;0;2007T2;365,3
Total;0;2007T1;398,9
Total;0;2006T4;358,4
Total;0;2006T3;360
Total;0;2006T2;365,8
Total;0;2006T1;378,1
Total;0;2005T4;378,1
Total;0;2005T3;367,9
Total;0;2005T2;365
Total;0;2005T1;460,3
Total;0;2004T4;350,5
Total;0;2004T3;376,2
Total;0;2004T2;363,1
Total;0;2004T1;382,6
Total;0;2003T4;369,9
Total;0;2003T3;388,5
Total;0;2003T2;365,7
Total;0;2003T1;374,2
Total;0;2002T4;367
Total;0;2002T3;364,5
Total;0;2002T2;366,4
Total;0;2002T1;349,5
Total;1;2025T4;8.431,6
Total;1;2025T3;8.335,7
Total;1;2025T2;8.336,7
Total;1;2025T1;8.432,5
Total;1;2024T4;8.342,5
Total;1;2024T3;8.312,5
Total;1;2024T2;8.307,1
Total;1;2024T1;8.450,9
Total;1;2023T4;8.364,3
Total;1;2023T3;8.364,6
Total;1;2023T2;8.432
Total;1;2023T1;8.457
Total;1;2022T4;8.457,6
Total;1;2022T3;8.447,3
Total;1;2022T2;8.339,9
Total;1;2022T1;8.423,3
Total;1;2021T4;8.315,4
Total;1;2021T3;8.222,6
Total;1;2021T2;8.192,3
Total;1;2021T1;8.195,3
Total;1;2020T4;8.373,5
Total;1;2020T3;8.387,7
Total;1;2020T2;8.431,1
Total;1;2020T1;8.265,2
Total;1;2019T4;8.168,5
Total;1;2019T3;8.158,4
Total;1;2019T2;8.205,9
Total;1;2019T1;8.298,4
Total;1;2018T4;8.327,5
Total;1;2018T3;8.334,6
Total;1;2018T2;8.344,1
Total;1;2018T1;8.495,2
Total;1;2017T4;8.473,1
Total;1;2017T3;8.471,9
Total;1;2017T2;8.566
Total;1;2017T1;8.585,1
Total;1;2016T4;8.622,7
Total;1;2016T3;8.581,6
Total;1;2016T2;8.632,4
Total;1;2016T1;8.687,2
Total;1;2015T4;8.656,9
Total;1;2015T3;8.651,3
Total;1;2015T2;8.647,5
Total;1;2015T1;8.747,1
Total;1;2014T4;8.733,6
Total;1;2014T3;8.764
Total;1;2014T2;8.694,9
Total;1;2014T1;8.671,5
Total;1;2013T4;8.591,4
Total;1;2013T3;8.515,2
Total;1;2013T2;8.518,1
Total;1;2013T1;8.492,3
Total;1;2012T4;8.405,5
Total;1;2012T3;8.279,2
Total;1;2012T2;8.217,6
Total;1;2012T1;8.173,6
Total;1;2011T4;8.048,8
Total;1;2011T3;7.943,4
Total;1;2011T2;7.810,9
Total;1;2011T1;7.816,3
Total;1;2010T4;7.738,1
Total;1;2010T3;7.662,1
Total;1;2010T2;7.546,6
Total;1;2010T1;7.540,9
Total;1;2009T4;7.492,2
Total;1;2009T3;7.406,8
Total;1;2009T2;7.314,9
Total;1;2009T1;7.305,3
Total;1;2008T4;7.173,9
Total;1;2008T3;7.065,6
Total;1;2008T2;7.100,4
Total;1;2008T1;7.026
Total;1;2007T4;6.982,3
Total;1;2007T3;6.915,7
Total;1;2007T2;6.865,3
Total;1;2007T1;6.823,2
Total;1;2006T4;6.729,3
Total;1;2006T3;6.692,8
Total;1;2006T2;6.687,8
Total;1;2006T1;6.703,9
Total;1;2005T4;6.661,1
Total;1;2005T3;6.661,1
Total;1;2005T2;6.628,1
Total;1;2005T1;6.621,7
Total;1;2004T4;6.811,7
Total;1;2004T3;6.818,1
Total;1;2004T2;6.803,3
Total;1;2004T1;6.820,4
Total;1;2003T4;6.786,8
Total;1;2003T3;6.753,1
Total;1;2003T2;6.761,7
Total;1;2003T1;6.726
Total;1;2002T4;6.690,5
Total;1;2002T3;6.626,9
Total;1;2002T2;6.587,2
Total;1;2002T1;6.581,8
Total;2;2025T4;8.117,8
Total;2;2025T3;8.017,1
Total;2;2025T2;8.125,5
Total;2;2025T1;8.047,6
Total;2;2024T4;8.043,8
Total;2;2024T3;7.982,9
Total;2;2024T2;8.053,9
Total;2;2024T1;7.966,1
Total;2;2023T4;7.964,1
Total;2;2023T3;7.827,3
Total;2;2023T2;7.855,1
Total;2;2023T1;7.818,5
Total;2;2022T4;7.748,1
Total;2;2022T3;7.684
Total;2;2022T2;7.721,8
Total;2;2022T1;7.629,2
Total;2;2021T4;7.682,5
Total;2;2021T3;7.597,7
Total;2;2021T2;7.632,7
Total;2;2021T1;7.562
Total;2;2020T4;7.867,9
Total;2;2020T3;7.889
Total;2;2020T2;7.836,4
Total;2;2020T1;7.940,3
Total;2;2019T4;7.991
Total;2;2019T3;7.966,1
Total;2;2019T2;7.970,4
Total;2;2019T1;7.859,6
Total;2;2018T4;7.808
Total;2;2018T3;7.734,4
Total;2;2018T2;7.754,5
Total;2;2018T1;7.681,7
Total;2;2017T4;7.693,5
Total;2;2017T3;7.616,5
Total;2;2017T2;7.594,5
Total;2;2017T1;7.583,7
Total;2;2016T4;7.544,2
Total;2;2016T3;7.507,8
Total;2;2016T2;7.465,8
Total;2;2016T1;7.398,7
Total;2;2015T4;7.387,8
Total;2;2015T3;7.335,5
Total;2;2015T2;7.356,1
Total;2;2015T1;7.268,7
Total;2;2014T4;7.331,8
Total;2;2014T3;7.255,2
Total;2;2014T2;7.320,1
Total;2;2014T1;7.293,1
Total;2;2013T4;7.283,4
Total;2;2013T3;7.321,7
Total;2;2013T2;7.367,1
Total;2;2013T1;7.300,6
Total;2;2012T4;7.335,4
Total;2;2012T3;7.349,8
Total;2;2012T2;7.423
Total;2;2012T1;7.410,5
Total;2;2011T4;7.446,2
Total;2;2011T3;7.404,8
Total;2;2011T2;7.490,5
Total;2;2011T1;7.435
Total;2;2010T4;7.376,4
Total;2;2010T3;7.328,9
Total;2;2010T2;7.407,2
Total;2;2010T1;7.336,3
Total;2;2009T4;7.264
Total;2;2009T3;7.190
Total;2;2009T2;7.212,3
Total;2;2009T1;7.161,9
Total;2;2008T4;7.104,3
Total;2;2008T3;7.015,9
Total;2;2008T2;6.953,8
Total;2;2008T1;6.928,8
Total;2;2007T4;6.824,8
Total;2;2007T3;6.673,7
Total;2;2007T2;6.675,8
Total;2;2007T1;6.620,3
Total;2;2006T4;6.585,3
Total;2;2006T3;6.499,9
Total;2;2006T2;6.427,9
Total;2;2006T1;6.346,1
Total;2;2005T4;6.341,4
Total;2;2005T3;6.174
Total;2;2005T2;6.179
Total;2;2005T1;6.049
Total;2;2004T4;5.968,2
Total;2;2004T3;5.807,1
Total;2;2004T2;5.785,2
Total;2;2004T1;5.687,2
Total;2;2003T4;5.653,6
Total;2;2003T3;5.560,2
Total;2;2003T2;5.500,1
Total;2;2003T1;5.476,9
Total;2;2002T4;5.409,5
Total;2;2002T3;5.335,3
Total;2;2002T2;5.313,4
Total;2;2002T1;5.235,1
Total;3;2025T4;2.112,9
Total;3;2025T3;2.193,8
Total;3;2025T2;2.076,5
Total;3;2025T1;2.007,7
Total;3;2024T4;2.031,1
Total;3;2024T3;2.012,4
Total;3;2024T2;1.988,3
Total;3;2024T1;1.917,1
Total;3;2023T4;1.967,8
Total;3;2023T3;2.034
Total;3;2023T2;1.966,1
Total;3;2023T1;1.902,3
Total;3;2022T4;1.877,2
Total;3;2022T3;1.875,1
Total;3;2022T2;1.870,6
Total;3;2022T1;1.831,8
Total;3;2021T4;1.799
Total;3;2021T3;1.798,6
Total;3;2021T2;1.740,2
Total;3;2021T1;1.712,2
Total;3;2020T4;1.564,8
Total;3;2020T3;1.521,7
Total;3;2020T2;1.481
Total;3;2020T1;1.590,5
Total;3;2019T4;1.606,5
Total;3;2019T3;1.630
Total;3;2019T2;1.591,5
Total;3;2019T1;1.546,3
Total;3;2018T4;1.527,1
Total;3;2018T3;1.522,6
Total;3;2018T2;1.495,2
Total;3;2018T1;1.417,4
Total;3;2017T4;1.433,4
Total;3;2017T3;1.484,2
Total;3;2017T2;1.408,4
Total;3;2017T1;1.365,4
Total;3;2016T4;1.369,1
Total;3;2016T3;1.355,1
Total;3;2016T2;1.320,9
Total;3;2016T1;1.292,5
Total;3;2015T4;1.330,2
Total;3;2015T3;1.328,2
Total;3;2015T2;1.296,9
Total;3;2015T1;1.279,1
Total;3;2014T4;1.264,5
Total;3;2014T3;1.284,2
Total;3;2014T2;1.264,6
Total;3;2014T1;1.250,4
Total;3;2013T4;1.285,4
Total;3;2013T3;1.315,1
Total;3;2013T2;1.257,2
Total;3;2013T1;1.321,5
Total;3;2012T4;1.355,2
Total;3;2012T3;1.411,3
Total;3;2012T2;1.398,7
Total;3;2012T1;1.419
Total;3;2011T4;1.473,2
Total;3;2011T3;1.543,3
Total;3;2011T2;1.531,3
Total;3;2011T1;1.545,2
Total;3;2010T4;1.624
Total;3;2010T3;1.624,3
Total;3;2010T2;1.648,4
Total;3;2010T1;1.645,7
Total;3;2009T4;1.684,3
Total;3;2009T3;1.700,1
Total;3;2009T2;1.707,2
Total;3;2009T1;1.721,4
Total;3;2008T4;1.800,7
Total;3;2008T3;1.877,1
Total;3;2008T2;1.859,9
Total;3;2008T1;1.857,9
Total;3;2007T4;1.892,7
Total;3;2007T3;1.946,5
Total;3;2007T2;1.903
Total;3;2007T1;1.876,3
Total;3;2006T4;1.916,4
Total;3;2006T3;1.888,2
Total;3;2006T2;1.873,5
Total;3;2006T1;1.848,5
Total;3;2005T4;1.785,1
Total;3;2005T3;1.843,8
Total;3;2005T2;1.792,5
Total;3;2005T1;1.769,8
Total;3;2004T4;1.699,6
Total;3;2004T3;1.712,4
Total;3;2004T2;1.666,7
Total;3;2004T1;1.632,8
Total;3;2003T4;1.606,7
Total;3;2003T3;1.612
Total;3;2003T2;1.604,9
Total;3;2003T1;1.563,3
Total;3;2002T4;1.585,5
Total;3;2002T3;1.584,2
Total;3;2002T2;1.551,2
Total;3;2002T1;1.545,2
Total;4 y más;2025T4;689,7
Total;4 y más;2025T3;691,1
Total;4 y más;2025T2;675,3
Total;4 y más;2025T1;657,6
Total;4 y más;2024T4;659,5
Total;4 y más;2024T3;689,3
Total;4 y más;2024T2;622,4
Total;4 y más;2024T1;614,9
Total;4 y más;2023T4;594,6
Total;4 y más;2023T3;595,6
Total;4 y más;2023T2;567,5
Total;4 y más;2023T1;529,7
Total;4 y más;2022T4;535,8
Total;4 y más;2022T3;567,5
Total;4 y más;2022T2;541,8
Total;4 y más;2022T1;511,2
Total;4 y más;2021T4;533,3
Total;4 y más;2021T3;568,3
Total;4 y más;2021T2;532
Total;4 y más;2021T1;503,4
Total;4 y más;2020T4;401,6
Total;4 y más;2020T3;403,2
Total;4 y más;2020T2;364,9
Total;4 y más;2020T1;381
Total;4 y más;2019T4;415,6
Total;4 y más;2019T3;391,6
Total;4 y más;2019T2;364,6
Total;4 y más;2019T1;358,2
Total;4 y más;2018T4;368,8
Total;4 y más;2018T3;380,6
Total;4 y más;2018T2;352,2
Total;4 y más;2018T1;343,1
Total;4 y más;2017T4;344,6
Total;4 y más;2017T3;342
Total;4 y más;2017T2;333,5
Total;4 y más;2017T1;317,4
Total;4 y más;2016T4;320,8
Total;4 y más;2016T3;344,8
Total;4 y más;2016T2;313,5
Total;4 y más;2016T1;310,8
Total;4 y más;2015T4;307,9
Total;4 y más;2015T3;341,1
Total;4 y más;2015T2;309,5
Total;4 y más;2015T1;298
Total;4 y más;2014T4;301,1
Total;4 y más;2014T3;324
Total;4 y más;2014T2;311,2
Total;4 y más;2014T1;282,6
Total;4 y más;2013T4;311,6
Total;4 y más;2013T3;332,3
Total;4 y más;2013T2;336,4
Total;4 y más;2013T1;329
Total;4 y más;2012T4;337,9
Total;4 y más;2012T3;379,7
Total;4 y más;2012T2;382,4
Total;4 y más;2012T1;386,3
Total;4 y más;2011T4;397,4
Total;4 y más;2011T3;431,5
Total;4 y más;2011T2;440,6
Total;4 y más;2011T1;448,3
Total;4 y más;2010T4;482,5
Total;4 y más;2010T3;543
Total;4 y más;2010T2;521,9
Total;4 y más;2010T1;551,1
Total;4 y más;2009T4;557,4
Total;4 y más;2009T3;600,3
Total;4 y más;2009T2;597,8
Total;4 y más;2009T1;593,4
Total;4 y más;2008T4;662
Total;4 y más;2008T3;701,8
Total;4 y más;2008T2;711,3
Total;4 y más;2008T1;723,3
Total;4 y más;2007T4;744,8
Total;4 y más;2007T3;786,8
Total;4 y más;2007T2;772,1
Total;4 y más;2007T1;747,4
Total;4 y más;2006T4;761
Total;4 y más;2006T3;788,9
Total;4 y más;2006T2;765,6
Total;4 y más;2006T1;741,8
Total;4 y más;2005T4;757
Total;4 y más;2005T3;765,2
Total;4 y más;2005T2;743,9
Total;4 y más;2005T1;695
Total;4 y más;2004T4;659,8
Total;4 y más;2004T3;655,3
Total;4 y más;2004T2;648,4
Total;4 y más;2004T1;648,8
Total;4 y más;2003T4;665,9
Total;4 y más;2003T3;663,8
Total;4 y más;2003T2;644,6
Total;4 y más;2003T1;631,2
Total;4 y más;2002T4;616,7
Total;4 y más;2002T3;641,4
Total;4 y más;2002T2;624,5
Total;4 y más;2002T1;622
Una persona;Total;2025T4;5.770,4
Una persona;Total;2025T3;5.741,3
Una persona;Total;2025T2;5.740
Una persona;Total;2025T1;5.696
Una persona;Total;2024T4;5.636,6
Una persona;Total;2024T3;5.647,9
Una persona;Total;2024T2;5.606,1
Una persona;Total;2024T1;5.644,9
Una persona;Total;2023T4;5.624,2
Una persona;Total;2023T3;5.584,3
Una persona;Total;2023T2;5.579
Una persona;Total;2023T1;5.539,8
Una persona;Total;2022T4;5.496,8
Una persona;Total;2022T3;5.462,2
Una persona;Total;2022T2;5.414,9
Una persona;Total;2022T1;5.356,9
Una persona;Total;2021T4;5.298,2
Una persona;Total;2021T3;5.212,9
Una persona;Total;2021T2;5.149,6
Una persona;Total;2021T1;5.060,3
Una persona;Total;2020T4;4.935,4
Una persona;Total;2020T3;4.914
Una persona;Total;2020T2;4.901
Una persona;Total;2020T1;4.894,3
Una persona;Total;2019T4;4.871,3
Una persona;Total;2019T3;4.836,6
Una persona;Total;2019T2;4.807,4
Una persona;Total;2019T1;4.786,2
Una persona;Total;2018T4;4.770,7
Una persona;Total;2018T3;4.754,6
Una persona;Total;2018T2;4.741
Una persona;Total;2018T1;4.732,6
Una persona;Total;2017T4;4.727,9
Una persona;Total;2017T3;4.729,2
Una persona;Total;2017T2;4.731,6
Una persona;Total;2017T1;4.733,6
Una persona;Total;2016T4;4.727,8
Una persona;Total;2016T3;4.711,2
Una persona;Total;2016T2;4.693
Una persona;Total;2016T1;4.679
Una persona;Total;2015T4;4.667,5
Una persona;Total;2015T3;4.654,8
Una persona;Total;2015T2;4.641,6
Una persona;Total;2015T1;4.633,6
Una persona;Total;2014T4;4.627,4
Una persona;Total;2014T3;4.620,8
Una persona;Total;2014T2;4.595,3
Una persona;Total;2014T1;4.498,6
Una persona;Total;2013T4;4.463,6
Una persona;Total;2013T3;4.427
Una persona;Total;2013T2;4.393,5
Una persona;Total;2013T1;4.357,7
Una persona;Total;2012T4;4.321,8
Una persona;Total;2012T3;4.280,6
Una persona;Total;2012T2;4.240,3
Una persona;Total;2012T1;4.203,5
Una persona;Total;2011T4;4.158,5
Una persona;Total;2011T3;4.131,4
Una persona;Total;2011T2;4.104,4
Una persona;Total;2011T1;4.078,9
Una persona;Total;2010T4;4.055
Una persona;Total;2010T3;4.026,7
Una persona;Total;2010T2;3.999,2
Una persona;Total;2010T1;3.972,8
Una persona;Total;2009T4;3.948,3
Una persona;Total;2009T3;3.920,5
Una persona;Total;2009T2;3.893,4
Una persona;Total;2009T1;3.867,1
Una persona;Total;2008T4;3.842,7
Una persona;Total;2008T3;3.811,9
Una persona;Total;2008T2;3.780,5
Una persona;Total;2008T1;3.749,4
Una persona;Total;2007T4;3.719,6
Una persona;Total;2007T3;3.684,2
Una persona;Total;2007T2;3.649,4
Una persona;Total;2007T1;3.615,5
Una persona;Total;2006T4;3.582,3
Una persona;Total;2006T3;3.547,2
Una persona;Total;2006T2;3.514
Una persona;Total;2006T1;3.482,1
Una persona;Total;2005T4;3.450,6
Una persona;Total;2005T3;3.413,9
Una persona;Total;2005T2;3.378,3
Una persona;Total;2005T1;3.341,1
Una persona;Total;2004T4;3.308,1
Una persona;Total;2004T3;3.271,4
Una persona;Total;2004T2;3.238,4
Una persona;Total;2004T1;3.207,2
Una persona;Total;2003T4;3.177,4
Una persona;Total;2003T3;3.142,9
Una persona;Total;2003T2;3.109,9
Una persona;Total;2003T1;3.075,4
Una persona;Total;2002T4;3.040,6
Una persona;Total;2002T3;3.001,3
Una persona;Total;2002T2;2.963,2
Una persona;Total;2002T1;2.925,4
Una persona;0;2025T4;319,6
Una persona;0;2025T3;344,4
Una persona;0;2025T2;350,5
Una persona;0;2025T1;321,3
Una persona;0;2024T4;334,8
Una persona;0;2024T3;354,3
Una persona;0;2024T2;321,5
Una persona;0;2024T1;348,2
Una persona;0;2023T4;362,9
Una persona;0;2023T3;365,6
Una persona;0;2023T2;331,1
Una persona;0;2023T1;356,1
Una persona;0;2022T4;353,5
Una persona;0;2022T3;343,2
Una persona;0;2022T2;369,7
Una persona;0;2022T1;347,5
Una persona;0;2021T4;346
Una persona;0;2021T3;352
Una persona;0;2021T2;366
Una persona;0;2021T1;373,9
Una persona;0;2020T4;333,5
Una persona;0;2020T3;345,9
Una persona;0;2020T2;346,6
Una persona;0;2020T1;334,9
Una persona;0;2019T4;325,7
Una persona;0;2019T3;319,5
Una persona;0;2019T2;311,7
Una persona;0;2019T1;328,4
Una persona;0;2018T4;331,6
Una persona;0;2018T3;347,4
Una persona;0;2018T2;342,4
Una persona;0;2018T1;330,5
Una persona;0;2017T4;317,9
Una persona;0;2017T3;329,4
Una persona;0;2017T2;319,2
Una persona;0;2017T1;345,4
Una persona;0;2016T4;327,2
Una persona;0;2016T3;350,5
Una persona;0;2016T2;371,4
Una persona;0;2016T1;370,2
Una persona;0;2015T4;353,4
Una persona;0;2015T3;354,1
Una persona;0;2015T2;372,8
Una persona;0;2015T1;376
Una persona;0;2014T4;359,9
Una persona;0;2014T3;359,5
Una persona;0;2014T2;385,6
Una persona;0;2014T1;381,2
Una persona;0;2013T4;382,7
Una persona;0;2013T3;373,4
Una persona;0;2013T2;388,6
Una persona;0;2013T1;364
Una persona;0;2012T4;358,7
Una persona;0;2012T3;335,5
Una persona;0;2012T2;317,5
Una persona;0;2012T1;327,5
Una persona;0;2011T4;330,5
Una persona;0;2011T3;303,4
Una persona;0;2011T2;309,9
Una persona;0;2011T1;304,3
Una persona;0;2010T4;293,4
Una persona;0;2010T3;293,3
Una persona;0;2010T2;268,6
Una persona;0;2010T1;260,1
Una persona;0;2009T4;274,1
Una persona;0;2009T3;284,5
Una persona;0;2009T2;291,3
Una persona;0;2009T1;278,4
Una persona;0;2008T4;266,7
Una persona;0;2008T3;265,4
Una persona;0;2008T2;225,4
Una persona;0;2008T1;229,7
Una persona;0;2007T4;217,1
Una persona;0;2007T3;228,5
Una persona;0;2007T2;221,5
Una persona;0;2007T1;236,3
Una persona;0;2006T4;216,1
Una persona;0;2006T3;216,8
Una persona;0;2006T2;225,4
Una persona;0;2006T1;224,3
Una persona;0;2005T4;241,1
Una persona;0;2005T3;215,1
Una persona;0;2005T2;209,6
Una persona;0;2005T1;267,9
Una persona;0;2004T4;182,8
Una persona;0;2004T3;197,6
Una persona;0;2004T2;190,1
Una persona;0;2004T1;194,1
Una persona;0;2003T4;185,4
Una persona;0;2003T3;187
Una persona;0;2003T2;192,5
Una persona;0;2003T1;195,4
Una persona;0;2002T4;194,3
Una persona;0;2002T3;183,6
Una persona;0;2002T2;174,8
Una persona;0;2002T1;162,4
Una persona;1;2025T4;5.450,8
Una persona;1;2025T3;5.396,9
Una persona;1;2025T2;5.389,5
Una persona;1;2025T1;5.374,7
Una persona;1;2024T4;5.301,8
Una persona;1;2024T3;5.293,6
Una persona;1;2024T2;5.284,6
Una persona;1;2024T1;5.296,7
Una persona;1;2023T4;5.261,3
Una persona;1;2023T3;5.218,7
Una persona;1;2023T2;5.247,8
Una persona;1;2023T1;5.183,8
Una persona;1;2022T4;5.143,3
Una persona;1;2022T3;5.119
Una persona;1;2022T2;5.045,2
Una persona;1;2022T1;5.009,4
Una persona;1;2021T4;4.952,2
Una persona;1;2021T3;4.860,9
Una persona;1;2021T2;4.783,7
Una persona;1;2021T1;4.686,5
Una persona;1;2020T4;4.602
Una persona;1;2020T3;4.568,1
Una persona;1;2020T2;4.554,4
Una persona;1;2020T1;4.559,4
Una persona;1;2019T4;4.545,6
Una persona;1;2019T3;4.517,1
Una persona;1;2019T2;4.495,7
Una persona;1;2019T1;4.457,8
Una persona;1;2018T4;4.439,1
Una persona;1;2018T3;4.407,2
Una persona;1;2018T2;4.398,5
Una persona;1;2018T1;4.402,1
Una persona;1;2017T4;4.409,9
Una persona;1;2017T3;4.399,8
Una persona;1;2017T2;4.412,4
Una persona;1;2017T1;4.388,1
Una persona;1;2016T4;4.400,7
Una persona;1;2016T3;4.360,7
Una persona;1;2016T2;4.321,6
Una persona;1;2016T1;4.308,8
Una persona;1;2015T4;4.314,1
Una persona;1;2015T3;4.300,7
Una persona;1;2015T2;4.268,8
Una persona;1;2015T1;4.257,7
Una persona;1;2014T4;4.267,5
Una persona;1;2014T3;4.261,3
Una persona;1;2014T2;4.209,7
Una persona;1;2014T1;4.117,4
Una persona;1;2013T4;4.080,9
Una persona;1;2013T3;4.053,7
Una persona;1;2013T2;4.004,9
Una persona;1;2013T1;3.993,7
Una persona;1;2012T4;3.963,2
Una persona;1;2012T3;3.945,2
Una persona;1;2012T2;3.922,8
Una persona;1;2012T1;3.876
Una persona;1;2011T4;3.828
Una persona;1;2011T3;3.828,1
Una persona;1;2011T2;3.794,5
Una persona;1;2011T1;3.774,6
Una persona;1;2010T4;3.761,6
Una persona;1;2010T3;3.733,4
Una persona;1;2010T2;3.730,6
Una persona;1;2010T1;3.712,7
Una persona;1;2009T4;3.674,2
Una persona;1;2009T3;3.636
Una persona;1;2009T2;3.602,2
Una persona;1;2009T1;3.588,8
Una persona;1;2008T4;3.576
Una persona;1;2008T3;3.546,5
Una persona;1;2008T2;3.555,1
Una persona;1;2008T1;3.519,7
Una persona;1;2007T4;3.502,5
Una persona;1;2007T3;3.455,6
Una persona;1;2007T2;3.428
Una persona;1;2007T1;3.379,2
Una persona;1;2006T4;3.366,3
Una persona;1;2006T3;3.330,4
Una persona;1;2006T2;3.288,6
Una persona;1;2006T1;3.257,7
Una persona;1;2005T4;3.209,5
Una persona;1;2005T3;3.198,8
Una persona;1;2005T2;3.168,6
Una persona;1;2005T1;3.073,2
Una persona;1;2004T4;3.125,3
