Número de parados en el hogar;Número de activos en el hogar;Periodo;Total
Cuatro parados;2;2019T2;..
Cuatro parados;2;2019T1;..
Cuatro parados;2;2018T4;..
Cuatro parados;2;2018T3;..
Cuatro parados;2;2018T2;..
Cuatro parados;2;2018T1;..
Cuatro parados;2;2017T4;..
Cuatro parados;2;2017T3;..
Cuatro parados;2;2017T2;..
Cuatro parados;2;2017T1;..
Cuatro parados;2;2016T4;..
Cuatro parados;2;2016T3;..
Cuatro parados;2;2016T2;..
Cuatro parados;2;2016T1;..
Cuatro parados;2;2015T4;..
Cuatro parados;2;2015T3;..
Cuatro parados;2;2015T2;..
Cuatro parados;2;2015T1;..
Cuatro parados;2;2014T4;..
Cuatro parados;2;2014T3;..
Cuatro parados;2;2014T2;..
Cuatro parados;2;2014T1;..
Cuatro parados;2;2013T4;..
Cuatro parados;2;2013T3;..
Cuatro parados;2;2013T2;..
Cuatro parados;2;2013T1;..
Cuatro parados;2;2012T4;..
Cuatro parados;2;2012T3;..
Cuatro parados;2;2012T2;..
Cuatro parados;2;2012T1;..
Cuatro parados;2;2011T4;..
Cuatro parados;2;2011T3;..
Cuatro parados;2;2011T2;..
Cuatro parados;2;2011T1;..
Cuatro parados;2;2010T4;..
Cuatro parados;2;2010T3;..
Cuatro parados;2;2010T2;..
Cuatro parados;2;2010T1;..
Cuatro parados;2;2009T4;..
Cuatro parados;2;2009T3;..
Cuatro parados;2;2009T2;..
Cuatro parados;2;2009T1;..
Cuatro parados;2;2008T4;..
Cuatro parados;2;2008T3;..
Cuatro parados;2;2008T2;..
Cuatro parados;2;2008T1;..
Cuatro parados;2;2007T4;..
Cuatro parados;2;2007T3;..
Cuatro parados;2;2007T2;..
Cuatro parados;2;2007T1;..
Cuatro parados;2;2006T4;..
Cuatro parados;2;2006T3;..
Cuatro parados;2;2006T2;..
Cuatro parados;2;2006T1;..
Cuatro parados;2;2005T4;..
Cuatro parados;2;2005T3;..
Cuatro parados;2;2005T2;..
Cuatro parados;2;2005T1;..
Cuatro parados;2;2004T4;..
Cuatro parados;2;2004T3;..
Cuatro parados;2;2004T2;..
Cuatro parados;2;2004T1;..
Cuatro parados;2;2003T4;..
Cuatro parados;2;2003T3;..
Cuatro parados;2;2003T2;..
Cuatro parados;2;2003T1;..
Cuatro parados;2;2002T4;..
Cuatro parados;2;2002T3;..
Cuatro parados;2;2002T2;..
Cuatro parados;2;2002T1;..
Cuatro parados;3;2025T4;..
Cuatro parados;3;2025T3;..
Cuatro parados;3;2025T2;..
Cuatro parados;3;2025T1;..
Cuatro parados;3;2024T4;..
Cuatro parados;3;2024T3;..
Cuatro parados;3;2024T2;..
Cuatro parados;3;2024T1;..
Cuatro parados;3;2023T4;..
Cuatro parados;3;2023T3;..
Cuatro parados;3;2023T2;..
Cuatro parados;3;2023T1;..
Cuatro parados;3;2022T4;..
Cuatro parados;3;2022T3;..
Cuatro parados;3;2022T2;..
Cuatro parados;3;2022T1;..
Cuatro parados;3;2021T4;..
Cuatro parados;3;2021T3;..
Cuatro parados;3;2021T2;..
Cuatro parados;3;2021T1;..
Cuatro parados;3;2020T4;..
Cuatro parados;3;2020T3;..
Cuatro parados;3;2020T2;..
Cuatro parados;3;2020T1;..
Cuatro parados;3;2019T4;..
Cuatro parados;3;2019T3;..
Cuatro parados;3;2019T2;..
Cuatro parados;3;2019T1;..
Cuatro parados;3;2018T4;..
Cuatro parados;3;2018T3;..
Cuatro parados;3;2018T2;..
Cuatro parados;3;2018T1;..
Cuatro parados;3;2017T4;..
Cuatro parados;3;2017T3;..
Cuatro parados;3;2017T2;..
Cuatro parados;3;2017T1;..
Cuatro parados;3;2016T4;..
Cuatro parados;3;2016T3;..
Cuatro parados;3;2016T2;..
Cuatro parados;3;2016T1;..
Cuatro parados;3;2015T4;..
Cuatro parados;3;2015T3;..
Cuatro parados;3;2015T2;..
Cuatro parados;3;2015T1;..
Cuatro parados;3;2014T4;..
Cuatro parados;3;2014T3;..
Cuatro parados;3;2014T2;..
Cuatro parados;3;2014T1;..
Cuatro parados;3;2013T4;..
Cuatro parados;3;2013T3;..
Cuatro parados;3;2013T2;..
Cuatro parados;3;2013T1;..
Cuatro parados;3;2012T4;..
Cuatro parados;3;2012T3;..
Cuatro parados;3;2012T2;..
Cuatro parados;3;2012T1;..
Cuatro parados;3;2011T4;..
Cuatro parados;3;2011T3;..
Cuatro parados;3;2011T2;..
Cuatro parados;3;2011T1;..
Cuatro parados;3;2010T4;..
Cuatro parados;3;2010T3;..
Cuatro parados;3;2010T2;..
Cuatro parados;3;2010T1;..
Cuatro parados;3;2009T4;..
Cuatro parados;3;2009T3;..
Cuatro parados;3;2009T2;..
Cuatro parados;3;2009T1;..
Cuatro parados;3;2008T4;..
Cuatro parados;3;2008T3;..
Cuatro parados;3;2008T2;..
Cuatro parados;3;2008T1;..
Cuatro parados;3;2007T4;..
Cuatro parados;3;2007T3;..
Cuatro parados;3;2007T2;..
Cuatro parados;3;2007T1;..
Cuatro parados;3;2006T4;..
Cuatro parados;3;2006T3;..
Cuatro parados;3;2006T2;..
Cuatro parados;3;2006T1;..
Cuatro parados;3;2005T4;..
Cuatro parados;3;2005T3;..
Cuatro parados;3;2005T2;..
Cuatro parados;3;2005T1;..
Cuatro parados;3;2004T4;..
Cuatro parados;3;2004T3;..
Cuatro parados;3;2004T2;..
Cuatro parados;3;2004T1;..
Cuatro parados;3;2003T4;..
Cuatro parados;3;2003T3;..
Cuatro parados;3;2003T2;..
Cuatro parados;3;2003T1;..
Cuatro parados;3;2002T4;..
Cuatro parados;3;2002T3;..
Cuatro parados;3;2002T2;..
Cuatro parados;3;2002T1;..
Cuatro parados;4;2025T4;4,8
Cuatro parados;4;2025T3;5,4
Cuatro parados;4;2025T2;7,4
Cuatro parados;4;2025T1;6,4
Cuatro parados;4;2024T4;2,2
Cuatro parados;4;2024T3;3
Cuatro parados;4;2024T2;5,6
Cuatro parados;4;2024T1;3,4
Cuatro parados;4;2023T4;5
Cuatro parados;4;2023T3;3,3
Cuatro parados;4;2023T2;4,7
Cuatro parados;4;2023T1;9,3
Cuatro parados;4;2022T4;7,2
Cuatro parados;4;2022T3;2,5
Cuatro parados;4;2022T2;4,7
Cuatro parados;4;2022T1;7,6
Cuatro parados;4;2021T4;0,4
Cuatro parados;4;2021T3;6,4
Cuatro parados;4;2021T2;3,9
Cuatro parados;4;2021T1;8,4
Cuatro parados;4;2020T4;2
Cuatro parados;4;2020T3;7
Cuatro parados;4;2020T2;5,3
Cuatro parados;4;2020T1;3,2
Cuatro parados;4;2019T4;2,9
Cuatro parados;4;2019T3;2,9
Cuatro parados;4;2019T2;4,3
Cuatro parados;4;2019T1;4,8
Cuatro parados;4;2018T4;5,5
Cuatro parados;4;2018T3;7,9
Cuatro parados;4;2018T2;5,2
Cuatro parados;4;2018T1;7,4
Cuatro parados;4;2017T4;3,4
Cuatro parados;4;2017T3;4,9
Cuatro parados;4;2017T2;4,3
Cuatro parados;4;2017T1;7,8
Cuatro parados;4;2016T4;7,1
Cuatro parados;4;2016T3;10,3
Cuatro parados;4;2016T2;9,3
Cuatro parados;4;2016T1;12,4
Cuatro parados;4;2015T4;13,6
Cuatro parados;4;2015T3;18
Cuatro parados;4;2015T2;21,3
Cuatro parados;4;2015T1;24,7
Cuatro parados;4;2014T4;19,6
Cuatro parados;4;2014T3;19,3
Cuatro parados;4;2014T2;18
Cuatro parados;4;2014T1;21,1
Cuatro parados;4;2013T4;22,7
Cuatro parados;4;2013T3;25,3
Cuatro parados;4;2013T2;23,6
Cuatro parados;4;2013T1;27,8
Cuatro parados;4;2012T4;30,1
Cuatro parados;4;2012T3;22,6
Cuatro parados;4;2012T2;22,3
Cuatro parados;4;2012T1;16,6
Cuatro parados;4;2011T4;14,6
Cuatro parados;4;2011T3;12,8
Cuatro parados;4;2011T2;9
Cuatro parados;4;2011T1;16,1
Cuatro parados;4;2010T4;14,2
Cuatro parados;4;2010T3;11,3
Cuatro parados;4;2010T2;10,4
Cuatro parados;4;2010T1;13,8
Cuatro parados;4;2009T4;13,5
Cuatro parados;4;2009T3;10,6
Cuatro parados;4;2009T2;8,2
Cuatro parados;4;2009T1;9,1
Cuatro parados;4;2008T4;6
Cuatro parados;4;2008T3;4,3
Cuatro parados;4;2008T2;1,2
Cuatro parados;4;2008T1;2,2
Cuatro parados;4;2007T4;2
Cuatro parados;4;2007T3;1,2
Cuatro parados;4;2007T2;1,8
Cuatro parados;4;2007T1;3,1
Cuatro parados;4;2006T4;0,7
Cuatro parados;4;2006T3;0,7
Cuatro parados;4;2006T2;1,3
Cuatro parados;4;2006T1;0,4
Cuatro parados;4;2005T4;1,5
Cuatro parados;4;2005T3;1,2
Cuatro parados;4;2005T2;0,7
Cuatro parados;4;2005T1;1,2
Cuatro parados;4;2004T4;1,6
Cuatro parados;4;2004T3;2
Cuatro parados;4;2004T2;3,1
Cuatro parados;4;2004T1;1,1
Cuatro parados;4;2003T4;1,4
Cuatro parados;4;2003T3;2,4
Cuatro parados;4;2003T2;1,1
Cuatro parados;4;2003T1;1,9
Cuatro parados;4;2002T4;2,1
Cuatro parados;4;2002T3;4
Cuatro parados;4;2002T2;1
Cuatro parados;4;2002T1;2,9
Cuatro parados;5 y más;2025T4;0,7
Cuatro parados;5 y más;2025T3;1,8
Cuatro parados;5 y más;2025T2;..
Cuatro parados;5 y más;2025T1;1,7
Cuatro parados;5 y más;2024T4;3,5
Cuatro parados;5 y más;2024T3;1,5
Cuatro parados;5 y más;2024T2;3,8
Cuatro parados;5 y más;2024T1;..
Cuatro parados;5 y más;2023T4;4,2
Cuatro parados;5 y más;2023T3;..
Cuatro parados;5 y más;2023T2;1,5
Cuatro parados;5 y más;2023T1;..
Cuatro parados;5 y más;2022T4;3,4
Cuatro parados;5 y más;2022T3;2,6
Cuatro parados;5 y más;2022T2;1,7
Cuatro parados;5 y más;2022T1;1,8
Cuatro parados;5 y más;2021T4;5,2
Cuatro parados;5 y más;2021T3;3,1
Cuatro parados;5 y más;2021T2;4,3
Cuatro parados;5 y más;2021T1;3,4
Cuatro parados;5 y más;2020T4;4,2
Cuatro parados;5 y más;2020T3;3,8
Cuatro parados;5 y más;2020T2;1,2
Cuatro parados;5 y más;2020T1;1,7
Cuatro parados;5 y más;2019T4;1,7
Cuatro parados;5 y más;2019T3;1,7
Cuatro parados;5 y más;2019T2;2,8
Cuatro parados;5 y más;2019T1;2,1
Cuatro parados;5 y más;2018T4;3,9
Cuatro parados;5 y más;2018T3;1,3
Cuatro parados;5 y más;2018T2;2,7
Cuatro parados;5 y más;2018T1;3,5
Cuatro parados;5 y más;2017T4;3,5
Cuatro parados;5 y más;2017T3;2,1
Cuatro parados;5 y más;2017T2;3,5
Cuatro parados;5 y más;2017T1;2,6
Cuatro parados;5 y más;2016T4;2,8
Cuatro parados;5 y más;2016T3;3,4
Cuatro parados;5 y más;2016T2;4,8
Cuatro parados;5 y más;2016T1;4,2
Cuatro parados;5 y más;2015T4;5,2
Cuatro parados;5 y más;2015T3;5,4
Cuatro parados;5 y más;2015T2;6,6
Cuatro parados;5 y más;2015T1;5,7
Cuatro parados;5 y más;2014T4;5,6
Cuatro parados;5 y más;2014T3;6,1
Cuatro parados;5 y más;2014T2;3
Cuatro parados;5 y más;2014T1;4,8
Cuatro parados;5 y más;2013T4;6,6
Cuatro parados;5 y más;2013T3;7,9
Cuatro parados;5 y más;2013T2;8,1
Cuatro parados;5 y más;2013T1;8,5
Cuatro parados;5 y más;2012T4;4,6
Cuatro parados;5 y más;2012T3;7,1
Cuatro parados;5 y más;2012T2;7,7
Cuatro parados;5 y más;2012T1;3,7
Cuatro parados;5 y más;2011T4;6,3
Cuatro parados;5 y más;2011T3;5,6
Cuatro parados;5 y más;2011T2;8
Cuatro parados;5 y más;2011T1;8,7
Cuatro parados;5 y más;2010T4;7,5
Cuatro parados;5 y más;2010T3;4,5
Cuatro parados;5 y más;2010T2;8,1
Cuatro parados;5 y más;2010T1;6,7
Cuatro parados;5 y más;2009T4;5,4
Cuatro parados;5 y más;2009T3;2,8
Cuatro parados;5 y más;2009T2;7,5
Cuatro parados;5 y más;2009T1;4,2
Cuatro parados;5 y más;2008T4;3,3
Cuatro parados;5 y más;2008T3;4
Cuatro parados;5 y más;2008T2;2,6
Cuatro parados;5 y más;2008T1;1,1
Cuatro parados;5 y más;2007T4;2
Cuatro parados;5 y más;2007T3;1
Cuatro parados;5 y más;2007T2;0,9
Cuatro parados;5 y más;2007T1;0,3
Cuatro parados;5 y más;2006T4;1,4
Cuatro parados;5 y más;2006T3;0,1
Cuatro parados;5 y más;2006T2;1,1
Cuatro parados;5 y más;2006T1;2,4
Cuatro parados;5 y más;2005T4;1,1
Cuatro parados;5 y más;2005T3;2,7
Cuatro parados;5 y más;2005T2;0,9
Cuatro parados;5 y más;2005T1;0,9
Cuatro parados;5 y más;2004T4;1,5
Cuatro parados;5 y más;2004T3;1,9
Cuatro parados;5 y más;2004T2;1,1
Cuatro parados;5 y más;2004T1;1,8
Cuatro parados;5 y más;2003T4;1,4
Cuatro parados;5 y más;2003T3;0,9
Cuatro parados;5 y más;2003T2;1,8
Cuatro parados;5 y más;2003T1;2
Cuatro parados;5 y más;2002T4;2,4
Cuatro parados;5 y más;2002T3;1,7
Cuatro parados;5 y más;2002T2;1,5
Cuatro parados;5 y más;2002T1;1,6
Cinco y más parados;Total;2025T4;..
Cinco y más parados;Total;2025T3;0,7
Cinco y más parados;Total;2025T2;..
Cinco y más parados;Total;2025T1;..
Cinco y más parados;Total;2024T4;..
Cinco y más parados;Total;2024T3;0,3
Cinco y más parados;Total;2024T2;2,3
Cinco y más parados;Total;2024T1;2,8
Cinco y más parados;Total;2023T4;..
Cinco y más parados;Total;2023T3;1,1
Cinco y más parados;Total;2023T2;0,9
Cinco y más parados;Total;2023T1;5,8
Cinco y más parados;Total;2022T4;0,7
Cinco y más parados;Total;2022T3;3,9
Cinco y más parados;Total;2022T2;..
Cinco y más parados;Total;2022T1;2,5
Cinco y más parados;Total;2021T4;1,6
Cinco y más parados;Total;2021T3;4
Cinco y más parados;Total;2021T2;1,1
Cinco y más parados;Total;2021T1;2,2
Cinco y más parados;Total;2020T4;3,3
Cinco y más parados;Total;2020T3;0,5
Cinco y más parados;Total;2020T2;1,8
Cinco y más parados;Total;2020T1;0,4
Cinco y más parados;Total;2019T4;1,7
Cinco y más parados;Total;2019T3;0,8
Cinco y más parados;Total;2019T2;..
Cinco y más parados;Total;2019T1;1
Cinco y más parados;Total;2018T4;0,4
Cinco y más parados;Total;2018T3;1,5
Cinco y más parados;Total;2018T2;0,6
Cinco y más parados;Total;2018T1;1,2
Cinco y más parados;Total;2017T4;0,7
Cinco y más parados;Total;2017T3;1,1
Cinco y más parados;Total;2017T2;0,5
Cinco y más parados;Total;2017T1;1,1
Cinco y más parados;Total;2016T4;3,2
Cinco y más parados;Total;2016T3;1,9
Cinco y más parados;Total;2016T2;4,9
Cinco y más parados;Total;2016T1;4,7
Cinco y más parados;Total;2015T4;6,1
Cinco y más parados;Total;2015T3;5,1
Cinco y más parados;Total;2015T2;5,3
Cinco y más parados;Total;2015T1;7
Cinco y más parados;Total;2014T4;3,9
Cinco y más parados;Total;2014T3;4,8
Cinco y más parados;Total;2014T2;5,3
Cinco y más parados;Total;2014T1;2,8
Cinco y más parados;Total;2013T4;7,4
Cinco y más parados;Total;2013T3;11,1
Cinco y más parados;Total;2013T2;6,3
Cinco y más parados;Total;2013T1;7
Cinco y más parados;Total;2012T4;6,1
Cinco y más parados;Total;2012T3;5,9
Cinco y más parados;Total;2012T2;5,1
Cinco y más parados;Total;2012T1;4,5
Cinco y más parados;Total;2011T4;5,2
Cinco y más parados;Total;2011T3;6
Cinco y más parados;Total;2011T2;6,3
Cinco y más parados;Total;2011T1;5,8
Cinco y más parados;Total;2010T4;5,7
Cinco y más parados;Total;2010T3;4,9
Cinco y más parados;Total;2010T2;2,7
Cinco y más parados;Total;2010T1;2,6
Cinco y más parados;Total;2009T4;4,1
Cinco y más parados;Total;2009T3;5,4
Cinco y más parados;Total;2009T2;2,8
Cinco y más parados;Total;2009T1;4,9
Cinco y más parados;Total;2008T4;2,2
Cinco y más parados;Total;2008T3;1,4
Cinco y más parados;Total;2008T2;0,4
Cinco y más parados;Total;2008T1;1
Cinco y más parados;Total;2007T4;0,3
Cinco y más parados;Total;2007T3;..
Cinco y más parados;Total;2007T2;..
Cinco y más parados;Total;2007T1;0,2
Cinco y más parados;Total;2006T4;..
Cinco y más parados;Total;2006T3;0,2
Cinco y más parados;Total;2006T2;..
Cinco y más parados;Total;2006T1;0,6
Cinco y más parados;Total;2005T4;0,6
Cinco y más parados;Total;2005T3;0,3
Cinco y más parados;Total;2005T2;..
Cinco y más parados;Total;2005T1;..
Cinco y más parados;Total;2004T4;0,7
Cinco y más parados;Total;2004T3;2,4
Cinco y más parados;Total;2004T2;1,2
Cinco y más parados;Total;2004T1;1,1
Cinco y más parados;Total;2003T4;..
Cinco y más parados;Total;2003T3;..
Cinco y más parados;Total;2003T2;1,2
Cinco y más parados;Total;2003T1;0,6
Cinco y más parados;Total;2002T4;0,2
Cinco y más parados;Total;2002T3;0,3
Cinco y más parados;Total;2002T2;1,3
Cinco y más parados;Total;2002T1;0,7
Cinco y más parados;0;2025T4;..
Cinco y más parados;0;2025T3;..
Cinco y más parados;0;2025T2;..
Cinco y más parados;0;2025T1;..
Cinco y más parados;0;2024T4;..
Cinco y más parados;0;2024T3;..
Cinco y más parados;0;2024T2;..
Cinco y más parados;0;2024T1;..
Cinco y más parados;0;2023T4;..
Cinco y más parados;0;2023T3;..
Cinco y más parados;0;2023T2;..
Cinco y más parados;0;2023T1;..
Cinco y más parados;0;2022T4;..
Cinco y más parados;0;2022T3;..
Cinco y más parados;0;2022T2;..
Cinco y más parados;0;2022T1;..
Cinco y más parados;0;2021T4;..
Cinco y más parados;0;2021T3;..
Cinco y más parados;0;2021T2;..
Cinco y más parados;0;2021T1;..
Cinco y más parados;0;2020T4;..
Cinco y más parados;0;2020T3;..
Cinco y más parados;0;2020T2;..
Cinco y más parados;0;2020T1;..
Cinco y más parados;0;2019T4;..
Cinco y más parados;0;2019T3;..
Cinco y más parados;0;2019T2;..
Cinco y más parados;0;2019T1;..
Cinco y más parados;0;2018T4;..
Cinco y más parados;0;2018T3;..
Cinco y más parados;0;2018T2;..
Cinco y más parados;0;2018T1;..
Cinco y más parados;0;2017T4;..
Cinco y más parados;0;2017T3;..
Cinco y más parados;0;2017T2;..
Cinco y más parados;0;2017T1;..
Cinco y más parados;0;2016T4;..
Cinco y más parados;0;2016T3;..
Cinco y más parados;0;2016T2;..
Cinco y más parados;0;2016T1;..
Cinco y más parados;0;2015T4;..
Cinco y más parados;0;2015T3;..
Cinco y más parados;0;2015T2;..
Cinco y más parados;0;2015T1;..
Cinco y más parados;0;2014T4;..
Cinco y más parados;0;2014T3;..
Cinco y más parados;0;2014T2;..
Cinco y más parados;0;2014T1;..
Cinco y más parados;0;2013T4;..
Cinco y más parados;0;2013T3;..
Cinco y más parados;0;2013T2;..
Cinco y más parados;0;2013T1;..
Cinco y más parados;0;2012T4;..
Cinco y más parados;0;2012T3;..
Cinco y más parados;0;2012T2;..
Cinco y más parados;0;2012T1;..
Cinco y más parados;0;2011T4;..
Cinco y más parados;0;2011T3;..
Cinco y más parados;0;2011T2;..
Cinco y más parados;0;2011T1;..
Cinco y más parados;0;2010T4;..
Cinco y más parados;0;2010T3;..
Cinco y más parados;0;2010T2;..
Cinco y más parados;0;2010T1;..
Cinco y más parados;0;2009T4;..
Cinco y más parados;0;2009T3;..
Cinco y más parados;0;2009T2;..
Cinco y más parados;0;2009T1;..
Cinco y más parados;0;2008T4;..
Cinco y más parados;0;2008T3;..
Cinco y más parados;0;2008T2;..
Cinco y más parados;0;2008T1;..
Cinco y más parados;0;2007T4;..
Cinco y más parados;0;2007T3;..
Cinco y más parados;0;2007T2;..
Cinco y más parados;0;2007T1;..
Cinco y más parados;0;2006T4;..
Cinco y más parados;0;2006T3;..
Cinco y más parados;0;2006T2;..
Cinco y más parados;0;2006T1;..
Cinco y más parados;0;2005T4;..
Cinco y más parados;0;2005T3;..
Cinco y más parados;0;2005T2;..
Cinco y más parados;0;2005T1;..
Cinco y más parados;0;2004T4;..
Cinco y más parados;0;2004T3;..
Cinco y más parados;0;2004T2;..
Cinco y más parados;0;2004T1;..
Cinco y más parados;0;2003T4;..
Cinco y más parados;0;2003T3;..
Cinco y más parados;0;2003T2;..
Cinco y más parados;0;2003T1;..
Cinco y más parados;0;2002T4;..
Cinco y más parados;0;2002T3;..
Cinco y más parados;0;2002T2;..
Cinco y más parados;0;2002T1;..
Cinco y más parados;1;2025T4;..
Cinco y más parados;1;2025T3;..
Cinco y más parados;1;2025T2;..
Cinco y más parados;1;2025T1;..
Cinco y más parados;1;2024T4;..
Cinco y más parados;1;2024T3;..
Cinco y más parados;1;2024T2;..
Cinco y más parados;1;2024T1;..
Cinco y más parados;1;2023T4;..
Cinco y más parados;1;2023T3;..
Cinco y más parados;1;2023T2;..
Cinco y más parados;1;2023T1;..
Cinco y más parados;1;2022T4;..
Cinco y más parados;1;2022T3;..
Cinco y más parados;1;2022T2;..
Cinco y más parados;1;2022T1;..
Cinco y más parados;1;2021T4;..
Cinco y más parados;1;2021T3;..
Cinco y más parados;1;2021T2;..
Cinco y más parados;1;2021T1;..
Cinco y más parados;1;2020T4;..
Cinco y más parados;1;2020T3;..
Cinco y más parados;1;2020T2;..
Cinco y más parados;1;2020T1;..
Cinco y más parados;1;2019T4;..
Cinco y más parados;1;2019T3;..
Cinco y más parados;1;2019T2;..
Cinco y más parados;1;2019T1;..
Cinco y más parados;1;2018T4;..
Cinco y más parados;1;2018T3;..
Cinco y más parados;1;2018T2;..
Cinco y más parados;1;2018T1;..
Cinco y más parados;1;2017T4;..
Cinco y más parados;1;2017T3;..
Cinco y más parados;1;2017T2;..
Cinco y más parados;1;2017T1;..
Cinco y más parados;1;2016T4;..
Cinco y más parados;1;2016T3;..
Cinco y más parados;1;2016T2;..
Cinco y más parados;1;2016T1;..
Cinco y más parados;1;2015T4;..
Cinco y más parados;1;2015T3;..
Cinco y más parados;1;2015T2;..
Cinco y más parados;1;2015T1;..
Cinco y más parados;1;2014T4;..
Cinco y más parados;1;2014T3;..
Cinco y más parados;1;2014T2;..
Cinco y más parados;1;2014T1;..
Cinco y más parados;1;2013T4;..
Cinco y más parados;1;2013T3;..
Cinco y más parados;1;2013T2;..
Cinco y más parados;1;2013T1;..
Cinco y más parados;1;2012T4;..
Cinco y más parados;1;2012T3;..
Cinco y más parados;1;2012T2;..
Cinco y más parados;1;2012T1;..
Cinco y más parados;1;2011T4;..
Cinco y más parados;1;2011T3;..
Cinco y más parados;1;2011T2;..
Cinco y más parados;1;2011T1;..
Cinco y más parados;1;2010T4;..
Cinco y más parados;1;2010T3;..
Cinco y más parados;1;2010T2;..
Cinco y más parados;1;2010T1;..
Cinco y más parados;1;2009T4;..
Cinco y más parados;1;2009T3;..
Cinco y más parados;1;2009T2;..
Cinco y más parados;1;2009T1;..
Cinco y más parados;1;2008T4;..
Cinco y más parados;1;2008T3;..
Cinco y más parados;1;2008T2;..
Cinco y más parados;1;2008T1;..
Cinco y más parados;1;2007T4;..
Cinco y más parados;1;2007T3;..
Cinco y más parados;1;2007T2;..
Cinco y más parados;1;2007T1;..
Cinco y más parados;1;2006T4;..
Cinco y más parados;1;2006T3;..
Cinco y más parados;1;2006T2;..
Cinco y más parados;1;2006T1;..
Cinco y más parados;1;2005T4;..
Cinco y más parados;1;2005T3;..
Cinco y más parados;1;2005T2;..
Cinco y más parados;1;2005T1;..
Cinco y más parados;1;2004T4;..
Cinco y más parados;1;2004T3;..
Cinco y más parados;1;2004T2;..
Cinco y más parados;1;2004T1;..
Cinco y más parados;1;2003T4;..
Cinco y más parados;1;2003T3;..
Cinco y más parados;1;2003T2;..
Cinco y más parados;1;2003T1;..
Cinco y más parados;1;2002T4;..
Cinco y más parados;1;2002T3;..
Cinco y más parados;1;2002T2;..
Cinco y más parados;1;2002T1;..
Cinco y más parados;2;2025T4;..
Cinco y más parados;2;2025T3;..
Cinco y más parados;2;2025T2;..
Cinco y más parados;2;2025T1;..
Cinco y más parados;2;2024T4;..
Cinco y más parados;2;2024T3;..
Cinco y más parados;2;2024T2;..
Cinco y más parados;2;2024T1;..
Cinco y más parados;2;2023T4;..
Cinco y más parados;2;2023T3;..
Cinco y más parados;2;2023T2;..
Cinco y más parados;2;2023T1;..
Cinco y más parados;2;2022T4;..
Cinco y más parados;2;2022T3;..
Cinco y más parados;2;2022T2;..
Cinco y más parados;2;2022T1;..
Cinco y más parados;2;2021T4;..
Cinco y más parados;2;2021T3;..
Cinco y más parados;2;2021T2;..
Cinco y más parados;2;2021T1;..
Cinco y más parados;2;2020T4;..
Cinco y más parados;2;2020T3;..
Cinco y más parados;2;2020T2;..
Cinco y más parados;2;2020T1;..
Cinco y más parados;2;2019T4;..
Cinco y más parados;2;2019T3;..
Cinco y más parados;2;2019T2;..
Cinco y más parados;2;2019T1;..
Cinco y más parados;2;2018T4;..
Cinco y más parados;2;2018T3;..
Cinco y más parados;2;2018T2;..
Cinco y más parados;2;2018T1;..
Cinco y más parados;2;2017T4;..
Cinco y más parados;2;2017T3;..
Cinco y más parados;2;2017T2;..
Cinco y más parados;2;2017T1;..
Cinco y más parados;2;2016T4;..
Cinco y más parados;2;2016T3;..
Cinco y más parados;2;2016T2;..
Cinco y más parados;2;2016T1;..
Cinco y más parados;2;2015T4;..
Cinco y más parados;2;2015T3;..
Cinco y más parados;2;2015T2;..
Cinco y más parados;2;2015T1;..
Cinco y más parados;2;2014T4;..
Cinco y más parados;2;2014T3;..
Cinco y más parados;2;2014T2;..
Cinco y más parados;2;2014T1;..
Cinco y más parados;2;2013T4;..
Cinco y más parados;2;2013T3;..
Cinco y más parados;2;2013T2;..
Cinco y más parados;2;2013T1;..
Cinco y más parados;2;2012T4;..
Cinco y más parados;2;2012T3;..
Cinco y más parados;2;2012T2;..
Cinco y más parados;2;2012T1;..
Cinco y más parados;2;2011T4;..
Cinco y más parados;2;2011T3;..
Cinco y más parados;2;2011T2;..
Cinco y más parados;2;2011T1;..
Cinco y más parados;2;2010T4;..
Cinco y más parados;2;2010T3;..
Cinco y más parados;2;2010T2;..
Cinco y más parados;2;2010T1;..
Cinco y más parados;2;2009T4;..
Cinco y más parados;2;2009T3;..
Cinco y más parados;2;2009T2;..
Cinco y más parados;2;2009T1;..
Cinco y más parados;2;2008T4;..
Cinco y más parados;2;2008T3;..
Cinco y más parados;2;2008T2;..
Cinco y más parados;2;2008T1;..
Cinco y más parados;2;2007T4;..
Cinco y más parados;2;2007T3;..
Cinco y más parados;2;2007T2;..
Cinco y más parados;2;2007T1;..
Cinco y más parados;2;2006T4;..
Cinco y más parados;2;2006T3;..
Cinco y más parados;2;2006T2;..
Cinco y más parados;2;2006T1;..
Cinco y más parados;2;2005T4;..
Cinco y más parados;2;2005T3;..
Cinco y más parados;2;2005T2;..
Cinco y más parados;2;2005T1;..
Cinco y más parados;2;2004T4;..
Cinco y más parados;2;2004T3;..
Cinco y más parados;2;2004T2;..
Cinco y más parados;2;2004T1;..
Cinco y más parados;2;2003T4;..
Cinco y más parados;2;2003T3;..
Cinco y más parados;2;2003T2;..
Cinco y más parados;2;2003T1;..
Cinco y más parados;2;2002T4;..
Cinco y más parados;2;2002T3;..
Cinco y más parados;2;2002T2;..
Cinco y más parados;2;2002T1;..
Cinco y más parados;3;2025T4;..
Cinco y más parados;3;2025T3;..
Cinco y más parados;3;2025T2;..
Cinco y más parados;3;2025T1;..
Cinco y más parados;3;2024T4;..
