Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2017T1;27,3
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2016T4;17,4
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2016T3;20,9
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2016T2;18,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2016T1;22,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2015T4;24,9
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2015T3;31,6
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2015T2;21,9
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2015T1;17,3
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2014T4;19,4
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2014T3;24,3
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2014T2;29,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria, con orientación general;2014T1;19,4
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2025T4;30,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2025T3;33,6
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2025T2;29,2
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2025T1;31,3
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T4;22,2
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T3;25,2
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T2;28
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T1;19,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T4;32,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T3;22,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;23,6
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;20,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;16,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;18,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;34,9
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;32
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;33,6
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;24,1
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;26,3
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;21,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T4;23,2
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T3;24,3
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T2;13,1
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T1;16,9
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T4;18,8
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T3;23,9
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T2;26,6
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T1;26,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T4;23,6
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T3;24,1
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T2;28,8
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T1;28
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T4;24
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T3;25,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T2;30,8
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T1;32,5
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T4;26,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T3;29,4
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T2;29,1
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T1;31,6
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T4;31,1
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T3;36,8
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T2;41,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T1;31
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T4;34,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T3;23,7
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T2;26,3
Ambos sexos;De 20 a 24 años;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T1;32,8
Ambos sexos;De 20 a 24 años;Educación superior;2025T4;67,1
Ambos sexos;De 20 a 24 años;Educación superior;2025T3;66,1
Ambos sexos;De 20 a 24 años;Educación superior;2025T2;67,3
Ambos sexos;De 20 a 24 años;Educación superior;2025T1;67
Ambos sexos;De 20 a 24 años;Educación superior;2024T4;70,3
Ambos sexos;De 20 a 24 años;Educación superior;2024T3;50,8
Ambos sexos;De 20 a 24 años;Educación superior;2024T2;49,4
Ambos sexos;De 20 a 24 años;Educación superior;2024T1;61,4
Ambos sexos;De 20 a 24 años;Educación superior;2023T4;55,2
Ambos sexos;De 20 a 24 años;Educación superior;2023T3;59,7
Ambos sexos;De 20 a 24 años;Educación superior;2023T2;53,3
Ambos sexos;De 20 a 24 años;Educación superior;2023T1;69,5
Ambos sexos;De 20 a 24 años;Educación superior;2022T4;63,9
Ambos sexos;De 20 a 24 años;Educación superior;2022T3;60,1
Ambos sexos;De 20 a 24 años;Educación superior;2022T2;51,8
Ambos sexos;De 20 a 24 años;Educación superior;2022T1;57,1
Ambos sexos;De 20 a 24 años;Educación superior;2021T4;54,2
Ambos sexos;De 20 a 24 años;Educación superior;2021T3;51,5
Ambos sexos;De 20 a 24 años;Educación superior;2021T2;57,5
Ambos sexos;De 20 a 24 años;Educación superior;2021T1;52,6
Ambos sexos;De 20 a 24 años;Educación superior;2020T4;52,5
Ambos sexos;De 20 a 24 años;Educación superior;2020T3;43,4
Ambos sexos;De 20 a 24 años;Educación superior;2020T2;41,8
Ambos sexos;De 20 a 24 años;Educación superior;2020T1;49
Ambos sexos;De 20 a 24 años;Educación superior;2019T4;53,1
Ambos sexos;De 20 a 24 años;Educación superior;2019T3;41,6
Ambos sexos;De 20 a 24 años;Educación superior;2019T2;42,6
Ambos sexos;De 20 a 24 años;Educación superior;2019T1;38,5
Ambos sexos;De 20 a 24 años;Educación superior;2018T4;52,5
Ambos sexos;De 20 a 24 años;Educación superior;2018T3;46
Ambos sexos;De 20 a 24 años;Educación superior;2018T2;45,3
Ambos sexos;De 20 a 24 años;Educación superior;2018T1;47,1
Ambos sexos;De 20 a 24 años;Educación superior;2017T4;51,2
Ambos sexos;De 20 a 24 años;Educación superior;2017T3;53,2
Ambos sexos;De 20 a 24 años;Educación superior;2017T2;51
Ambos sexos;De 20 a 24 años;Educación superior;2017T1;48,5
Ambos sexos;De 20 a 24 años;Educación superior;2016T4;45,9
Ambos sexos;De 20 a 24 años;Educación superior;2016T3;49
Ambos sexos;De 20 a 24 años;Educación superior;2016T2;45,3
Ambos sexos;De 20 a 24 años;Educación superior;2016T1;47,6
Ambos sexos;De 20 a 24 años;Educación superior;2015T4;51,3
Ambos sexos;De 20 a 24 años;Educación superior;2015T3;44,5
Ambos sexos;De 20 a 24 años;Educación superior;2015T2;46,3
Ambos sexos;De 20 a 24 años;Educación superior;2015T1;48,5
Ambos sexos;De 20 a 24 años;Educación superior;2014T4;47,4
Ambos sexos;De 20 a 24 años;Educación superior;2014T3;43,4
Ambos sexos;De 20 a 24 años;Educación superior;2014T2;60,5
Ambos sexos;De 20 a 24 años;Educación superior;2014T1;57,4
Ambos sexos;De 25 a 34 años;Total;2025T4;448,3
Ambos sexos;De 25 a 34 años;Total;2025T3;407,5
Ambos sexos;De 25 a 34 años;Total;2025T2;434
Ambos sexos;De 25 a 34 años;Total;2025T1;456
Ambos sexos;De 25 a 34 años;Total;2024T4;405,7
Ambos sexos;De 25 a 34 años;Total;2024T3;367,7
Ambos sexos;De 25 a 34 años;Total;2024T2;424,4
Ambos sexos;De 25 a 34 años;Total;2024T1;387,2
Ambos sexos;De 25 a 34 años;Total;2023T4;406,4
Ambos sexos;De 25 a 34 años;Total;2023T3;403,4
Ambos sexos;De 25 a 34 años;Total;2023T2;441,8
Ambos sexos;De 25 a 34 años;Total;2023T1;400
Ambos sexos;De 25 a 34 años;Total;2022T4;433,8
Ambos sexos;De 25 a 34 años;Total;2022T3;408,9
Ambos sexos;De 25 a 34 años;Total;2022T2;432,5
Ambos sexos;De 25 a 34 años;Total;2022T1;468,6
Ambos sexos;De 25 a 34 años;Total;2021T4;444,9
Ambos sexos;De 25 a 34 años;Total;2021T3;447,7
Ambos sexos;De 25 a 34 años;Total;2021T2;517,2
Ambos sexos;De 25 a 34 años;Total;2021T1;502,5
Ambos sexos;De 25 a 34 años;Total;2020T4;470,7
Ambos sexos;De 25 a 34 años;Total;2020T3;460,1
Ambos sexos;De 25 a 34 años;Total;2020T2;370,9
Ambos sexos;De 25 a 34 años;Total;2020T1;408,8
Ambos sexos;De 25 a 34 años;Total;2019T4;452,9
Ambos sexos;De 25 a 34 años;Total;2019T3;409,3
Ambos sexos;De 25 a 34 años;Total;2019T2;441,4
Ambos sexos;De 25 a 34 años;Total;2019T1;470,3
Ambos sexos;De 25 a 34 años;Total;2018T4;465,3
Ambos sexos;De 25 a 34 años;Total;2018T3;448
Ambos sexos;De 25 a 34 años;Total;2018T2;483
Ambos sexos;De 25 a 34 años;Total;2018T1;498,7
Ambos sexos;De 25 a 34 años;Total;2017T4;511,3
Ambos sexos;De 25 a 34 años;Total;2017T3;462,1
Ambos sexos;De 25 a 34 años;Total;2017T2;516,4
Ambos sexos;De 25 a 34 años;Total;2017T1;538,3
Ambos sexos;De 25 a 34 años;Total;2016T4;558,5
Ambos sexos;De 25 a 34 años;Total;2016T3;493,8
Ambos sexos;De 25 a 34 años;Total;2016T2;541,8
Ambos sexos;De 25 a 34 años;Total;2016T1;587,3
Ambos sexos;De 25 a 34 años;Total;2015T4;600
Ambos sexos;De 25 a 34 años;Total;2015T3;591,1
Ambos sexos;De 25 a 34 años;Total;2015T2;618,9
Ambos sexos;De 25 a 34 años;Total;2015T1;652,3
Ambos sexos;De 25 a 34 años;Total;2014T4;675,7
Ambos sexos;De 25 a 34 años;Total;2014T3;692,6
Ambos sexos;De 25 a 34 años;Total;2014T2;737,2
Ambos sexos;De 25 a 34 años;Total;2014T1;698,6
Ambos sexos;De 25 a 34 años;Analfabetos;2025T4;..
Ambos sexos;De 25 a 34 años;Analfabetos;2025T3;0,4
Ambos sexos;De 25 a 34 años;Analfabetos;2025T2;..
Ambos sexos;De 25 a 34 años;Analfabetos;2025T1;..
Ambos sexos;De 25 a 34 años;Analfabetos;2024T4;..
Ambos sexos;De 25 a 34 años;Analfabetos;2024T3;..
Ambos sexos;De 25 a 34 años;Analfabetos;2024T2;..
Ambos sexos;De 25 a 34 años;Analfabetos;2024T1;..
Ambos sexos;De 25 a 34 años;Analfabetos;2023T4;..
Ambos sexos;De 25 a 34 años;Analfabetos;2023T3;..
Ambos sexos;De 25 a 34 años;Analfabetos;2023T2;..
Ambos sexos;De 25 a 34 años;Analfabetos;2023T1;..
Ambos sexos;De 25 a 34 años;Analfabetos;2022T4;0,7
Ambos sexos;De 25 a 34 años;Analfabetos;2022T3;1,4
Ambos sexos;De 25 a 34 años;Analfabetos;2022T2;..
Ambos sexos;De 25 a 34 años;Analfabetos;2022T1;..
Ambos sexos;De 25 a 34 años;Analfabetos;2021T4;..
Ambos sexos;De 25 a 34 años;Analfabetos;2021T3;1,1
Ambos sexos;De 25 a 34 años;Analfabetos;2021T2;..
Ambos sexos;De 25 a 34 años;Analfabetos;2021T1;0,7
Ambos sexos;De 25 a 34 años;Analfabetos;2020T4;0
Ambos sexos;De 25 a 34 años;Analfabetos;2020T3;0
Ambos sexos;De 25 a 34 años;Analfabetos;2020T2;1,2
Ambos sexos;De 25 a 34 años;Analfabetos;2020T1;0,3
Ambos sexos;De 25 a 34 años;Analfabetos;2019T4;0
Ambos sexos;De 25 a 34 años;Analfabetos;2019T3;0
Ambos sexos;De 25 a 34 años;Analfabetos;2019T2;0
Ambos sexos;De 25 a 34 años;Analfabetos;2019T1;0,3
Ambos sexos;De 25 a 34 años;Analfabetos;2018T4;0,7
Ambos sexos;De 25 a 34 años;Analfabetos;2018T3;1,2
Ambos sexos;De 25 a 34 años;Analfabetos;2018T2;0,2
Ambos sexos;De 25 a 34 años;Analfabetos;2018T1;0,7
Ambos sexos;De 25 a 34 años;Analfabetos;2017T4;0,6
Ambos sexos;De 25 a 34 años;Analfabetos;2017T3;0,8
Ambos sexos;De 25 a 34 años;Analfabetos;2017T2;1,8
Ambos sexos;De 25 a 34 años;Analfabetos;2017T1;1,9
Ambos sexos;De 25 a 34 años;Analfabetos;2016T4;0,1
Ambos sexos;De 25 a 34 años;Analfabetos;2016T3;0,4
Ambos sexos;De 25 a 34 años;Analfabetos;2016T2;0
Ambos sexos;De 25 a 34 años;Analfabetos;2016T1;0
Ambos sexos;De 25 a 34 años;Analfabetos;2015T4;0
Ambos sexos;De 25 a 34 años;Analfabetos;2015T3;1
Ambos sexos;De 25 a 34 años;Analfabetos;2015T2;1,4
Ambos sexos;De 25 a 34 años;Analfabetos;2015T1;2
Ambos sexos;De 25 a 34 años;Analfabetos;2014T4;1,7
Ambos sexos;De 25 a 34 años;Analfabetos;2014T3;0,2
Ambos sexos;De 25 a 34 años;Analfabetos;2014T2;0,3
Ambos sexos;De 25 a 34 años;Analfabetos;2014T1;0,8
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2025T4;0,7
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2025T3;0,9
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2025T2;0,4
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2025T1;2,6
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2024T4;2,7
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2024T3;2,2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2024T2;0,9
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2024T1;1,2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2023T4;2,2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2023T3;3,6
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2023T2;1,1
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2023T1;1,4
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2022T4;..
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2022T3;1
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2022T2;0,4
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2022T1;..
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2021T4;0,1
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2021T3;1
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2021T2;1,5
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2021T1;2,7
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2020T4;3,6
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2020T3;4,8
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2020T2;1,8
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2020T1;1
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2019T4;3,8
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2019T3;1,6
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2019T2;2,9
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2019T1;2,4
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2018T4;2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2018T3;3,9
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2018T2;1,8
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2018T1;1,3
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2017T4;2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2017T3;3,3
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2017T2;2,7
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2017T1;2,6
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2016T4;3
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2016T3;0,9
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2016T2;1,3
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2016T1;2,2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2015T4;6,2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2015T3;9
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2015T2;1,2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2015T1;1,4
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2014T4;1,8
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2014T3;4,2
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2014T2;6,9
Ambos sexos;De 25 a 34 años;Estudios primarios incompletos;2014T1;1,7
Ambos sexos;De 25 a 34 años;Educación primaria;2025T4;16,3
Ambos sexos;De 25 a 34 años;Educación primaria;2025T3;10,1
Ambos sexos;De 25 a 34 años;Educación primaria;2025T2;13,2
Ambos sexos;De 25 a 34 años;Educación primaria;2025T1;10,5
Ambos sexos;De 25 a 34 años;Educación primaria;2024T4;15,7
Ambos sexos;De 25 a 34 años;Educación primaria;2024T3;14,8
Ambos sexos;De 25 a 34 años;Educación primaria;2024T2;11,9
Ambos sexos;De 25 a 34 años;Educación primaria;2024T1;12,1
Ambos sexos;De 25 a 34 años;Educación primaria;2023T4;22,5
Ambos sexos;De 25 a 34 años;Educación primaria;2023T3;12,9
Ambos sexos;De 25 a 34 años;Educación primaria;2023T2;13,5
Ambos sexos;De 25 a 34 años;Educación primaria;2023T1;12,4
Ambos sexos;De 25 a 34 años;Educación primaria;2022T4;15,1
Ambos sexos;De 25 a 34 años;Educación primaria;2022T3;9,9
Ambos sexos;De 25 a 34 años;Educación primaria;2022T2;14,8
Ambos sexos;De 25 a 34 años;Educación primaria;2022T1;23,4
Ambos sexos;De 25 a 34 años;Educación primaria;2021T4;12,6
Ambos sexos;De 25 a 34 años;Educación primaria;2021T3;14,5
Ambos sexos;De 25 a 34 años;Educación primaria;2021T2;17,1
Ambos sexos;De 25 a 34 años;Educación primaria;2021T1;23,9
Ambos sexos;De 25 a 34 años;Educación primaria;2020T4;17,2
Ambos sexos;De 25 a 34 años;Educación primaria;2020T3;14,5
Ambos sexos;De 25 a 34 años;Educación primaria;2020T2;12,8
Ambos sexos;De 25 a 34 años;Educación primaria;2020T1;13,8
Ambos sexos;De 25 a 34 años;Educación primaria;2019T4;10,1
Ambos sexos;De 25 a 34 años;Educación primaria;2019T3;8,9
Ambos sexos;De 25 a 34 años;Educación primaria;2019T2;18,3
Ambos sexos;De 25 a 34 años;Educación primaria;2019T1;16
Ambos sexos;De 25 a 34 años;Educación primaria;2018T4;16
Ambos sexos;De 25 a 34 años;Educación primaria;2018T3;24
Ambos sexos;De 25 a 34 años;Educación primaria;2018T2;20,9
Ambos sexos;De 25 a 34 años;Educación primaria;2018T1;24,9
Ambos sexos;De 25 a 34 años;Educación primaria;2017T4;22,4
Ambos sexos;De 25 a 34 años;Educación primaria;2017T3;18
Ambos sexos;De 25 a 34 años;Educación primaria;2017T2;18,7
Ambos sexos;De 25 a 34 años;Educación primaria;2017T1;22,4
Ambos sexos;De 25 a 34 años;Educación primaria;2016T4;28,8
Ambos sexos;De 25 a 34 años;Educación primaria;2016T3;27,4
Ambos sexos;De 25 a 34 años;Educación primaria;2016T2;29,8
Ambos sexos;De 25 a 34 años;Educación primaria;2016T1;32
Ambos sexos;De 25 a 34 años;Educación primaria;2015T4;36,9
Ambos sexos;De 25 a 34 años;Educación primaria;2015T3;29
Ambos sexos;De 25 a 34 años;Educación primaria;2015T2;32,7
Ambos sexos;De 25 a 34 años;Educación primaria;2015T1;31,2
Ambos sexos;De 25 a 34 años;Educación primaria;2014T4;33
Ambos sexos;De 25 a 34 años;Educación primaria;2014T3;30,9
Ambos sexos;De 25 a 34 años;Educación primaria;2014T2;32
Ambos sexos;De 25 a 34 años;Educación primaria;2014T1;32,2
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2025T4;106
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2025T3;99
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2025T2;110
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2025T1;111,9
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2024T4;81
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2024T3;80,1
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2024T2;86
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2024T1;92,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2023T4;85,9
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2023T3;91,2
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2023T2;107,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2023T1;86,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2022T4;111,8
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2022T3;104,4
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2022T2;100,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2022T1;98,6
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2021T4;100,9
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2021T3;119,9
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2021T2;120
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2021T1;105,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2020T4;103,1
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2020T3;106,6
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2020T2;86,1
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2020T1;94,5
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2019T4;110,6
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2019T3;108,1
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2019T2;105,7
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2019T1;112,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2018T4;116,1
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2018T3;123,5
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2018T2;132,5
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2018T1;148,4
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2017T4;144,8
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2017T3;129,9
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2017T2;135,7
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2017T1;147,4
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2016T4;153,8
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2016T3;151,5
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2016T2;148,4
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2016T1;171,7
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2015T4;176,9
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2015T3;171,8
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2015T2;160,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2015T1;179,3
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2014T4;180,8
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2014T3;194,8
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2014T2;201,5
Ambos sexos;De 25 a 34 años;Primera etapa de Educación Secundaria y similar;2014T1;204,2
