Sexo;Tipo de jornada;Tipo de contrato o relación laboral;Periodo;Total
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2007T1;1.034,7
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2006T4;1.084,1
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2006T3;1.001,2
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2006T2;1.096,9
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2006T1;1.081,5
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2005T4;1.027,5
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2005T3;948,2
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2005T2;1.046,6
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2005T1;1.034,6
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2004T4;771,3
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2004T3;756,7
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2004T2;790,0
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2004T1;753,5
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2003T4;720,9
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2003T3;636,6
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2003T2;701,7
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2003T1;665,5
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2002T4;663,0
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2002T3;611,5
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2002T2;651,0
Ambos sexos;Jornada a tiempo parcial;Asalariados con contrato temporal;2002T1;627,0
Ambos sexos;Jornada a tiempo parcial;No clasificable;2025T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2025T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2025T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2025T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2024T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2024T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2024T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2024T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2023T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2023T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2023T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2023T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2022T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2022T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2022T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2022T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2021T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2021T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2021T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2021T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2020T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2020T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2020T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2020T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2019T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2019T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2019T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2019T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2018T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2018T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2018T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2018T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2017T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2017T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2017T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2017T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2016T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2016T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2016T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2016T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2015T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2015T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2015T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2015T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2014T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2014T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2014T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2014T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2013T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2013T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2013T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2013T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2012T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2012T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2012T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2012T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2011T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2011T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2011T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2011T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2010T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2010T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2010T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2010T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2009T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2009T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2009T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2009T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2008T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2008T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2008T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2008T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2007T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2007T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2007T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2007T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2006T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2006T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2006T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2006T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2005T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2005T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2005T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2005T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2004T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2004T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2004T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2004T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2003T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2003T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2003T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2003T1;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2002T4;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2002T3;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2002T2;..
Ambos sexos;Jornada a tiempo parcial;No clasificable;2002T1;..
Ambos sexos;No clasificable;Total;2025T4;..
Ambos sexos;No clasificable;Total;2025T3;..
Ambos sexos;No clasificable;Total;2025T2;..
Ambos sexos;No clasificable;Total;2025T1;..
Ambos sexos;No clasificable;Total;2024T4;..
Ambos sexos;No clasificable;Total;2024T3;..
Ambos sexos;No clasificable;Total;2024T2;..
Ambos sexos;No clasificable;Total;2024T1;..
Ambos sexos;No clasificable;Total;2023T4;..
Ambos sexos;No clasificable;Total;2023T3;..
Ambos sexos;No clasificable;Total;2023T2;..
Ambos sexos;No clasificable;Total;2023T1;..
Ambos sexos;No clasificable;Total;2022T4;..
Ambos sexos;No clasificable;Total;2022T3;..
Ambos sexos;No clasificable;Total;2022T2;..
Ambos sexos;No clasificable;Total;2022T1;..
Ambos sexos;No clasificable;Total;2021T4;..
Ambos sexos;No clasificable;Total;2021T3;..
Ambos sexos;No clasificable;Total;2021T2;..
Ambos sexos;No clasificable;Total;2021T1;..
Ambos sexos;No clasificable;Total;2020T4;..
Ambos sexos;No clasificable;Total;2020T3;..
Ambos sexos;No clasificable;Total;2020T2;..
Ambos sexos;No clasificable;Total;2020T1;..
Ambos sexos;No clasificable;Total;2019T4;..
Ambos sexos;No clasificable;Total;2019T3;..
Ambos sexos;No clasificable;Total;2019T2;..
Ambos sexos;No clasificable;Total;2019T1;..
Ambos sexos;No clasificable;Total;2018T4;..
Ambos sexos;No clasificable;Total;2018T3;..
Ambos sexos;No clasificable;Total;2018T2;..
Ambos sexos;No clasificable;Total;2018T1;..
Ambos sexos;No clasificable;Total;2017T4;..
Ambos sexos;No clasificable;Total;2017T3;..
Ambos sexos;No clasificable;Total;2017T2;..
Ambos sexos;No clasificable;Total;2017T1;..
Ambos sexos;No clasificable;Total;2016T4;..
Ambos sexos;No clasificable;Total;2016T3;..
Ambos sexos;No clasificable;Total;2016T2;..
Ambos sexos;No clasificable;Total;2016T1;..
Ambos sexos;No clasificable;Total;2015T4;..
Ambos sexos;No clasificable;Total;2015T3;..
Ambos sexos;No clasificable;Total;2015T2;..
Ambos sexos;No clasificable;Total;2015T1;..
Ambos sexos;No clasificable;Total;2014T4;..
Ambos sexos;No clasificable;Total;2014T3;..
Ambos sexos;No clasificable;Total;2014T2;..
Ambos sexos;No clasificable;Total;2014T1;..
Ambos sexos;No clasificable;Total;2013T4;..
Ambos sexos;No clasificable;Total;2013T3;..
Ambos sexos;No clasificable;Total;2013T2;..
Ambos sexos;No clasificable;Total;2013T1;..
Ambos sexos;No clasificable;Total;2012T4;..
Ambos sexos;No clasificable;Total;2012T3;..
Ambos sexos;No clasificable;Total;2012T2;..
Ambos sexos;No clasificable;Total;2012T1;..
Ambos sexos;No clasificable;Total;2011T4;..
Ambos sexos;No clasificable;Total;2011T3;..
Ambos sexos;No clasificable;Total;2011T2;..
Ambos sexos;No clasificable;Total;2011T1;..
Ambos sexos;No clasificable;Total;2010T4;..
Ambos sexos;No clasificable;Total;2010T3;..
Ambos sexos;No clasificable;Total;2010T2;..
Ambos sexos;No clasificable;Total;2010T1;..
Ambos sexos;No clasificable;Total;2009T4;..
Ambos sexos;No clasificable;Total;2009T3;..
Ambos sexos;No clasificable;Total;2009T2;..
Ambos sexos;No clasificable;Total;2009T1;..
Ambos sexos;No clasificable;Total;2008T4;..
Ambos sexos;No clasificable;Total;2008T3;..
Ambos sexos;No clasificable;Total;2008T2;..
Ambos sexos;No clasificable;Total;2008T1;..
Ambos sexos;No clasificable;Total;2007T4;..
Ambos sexos;No clasificable;Total;2007T3;..
Ambos sexos;No clasificable;Total;2007T2;..
Ambos sexos;No clasificable;Total;2007T1;..
Ambos sexos;No clasificable;Total;2006T4;..
Ambos sexos;No clasificable;Total;2006T3;..
Ambos sexos;No clasificable;Total;2006T2;..
Ambos sexos;No clasificable;Total;2006T1;..
Ambos sexos;No clasificable;Total;2005T4;..
Ambos sexos;No clasificable;Total;2005T3;..
Ambos sexos;No clasificable;Total;2005T2;..
Ambos sexos;No clasificable;Total;2005T1;..
Ambos sexos;No clasificable;Total;2004T4;..
Ambos sexos;No clasificable;Total;2004T3;..
Ambos sexos;No clasificable;Total;2004T2;..
Ambos sexos;No clasificable;Total;2004T1;..
Ambos sexos;No clasificable;Total;2003T4;..
Ambos sexos;No clasificable;Total;2003T3;..
Ambos sexos;No clasificable;Total;2003T2;..
Ambos sexos;No clasificable;Total;2003T1;..
Ambos sexos;No clasificable;Total;2002T4;..
Ambos sexos;No clasificable;Total;2002T3;..
Ambos sexos;No clasificable;Total;2002T2;..
Ambos sexos;No clasificable;Total;2002T1;..
Ambos sexos;No clasificable;No asalariados;2025T4;..
Ambos sexos;No clasificable;No asalariados;2025T3;..
Ambos sexos;No clasificable;No asalariados;2025T2;..
Ambos sexos;No clasificable;No asalariados;2025T1;..
Ambos sexos;No clasificable;No asalariados;2024T4;..
Ambos sexos;No clasificable;No asalariados;2024T3;..
Ambos sexos;No clasificable;No asalariados;2024T2;..
Ambos sexos;No clasificable;No asalariados;2024T1;..
Ambos sexos;No clasificable;No asalariados;2023T4;..
Ambos sexos;No clasificable;No asalariados;2023T3;..
Ambos sexos;No clasificable;No asalariados;2023T2;..
Ambos sexos;No clasificable;No asalariados;2023T1;..
Ambos sexos;No clasificable;No asalariados;2022T4;..
Ambos sexos;No clasificable;No asalariados;2022T3;..
Ambos sexos;No clasificable;No asalariados;2022T2;..
Ambos sexos;No clasificable;No asalariados;2022T1;..
Ambos sexos;No clasificable;No asalariados;2021T4;..
Ambos sexos;No clasificable;No asalariados;2021T3;..
Ambos sexos;No clasificable;No asalariados;2021T2;..
Ambos sexos;No clasificable;No asalariados;2021T1;..
Ambos sexos;No clasificable;No asalariados;2020T4;..
Ambos sexos;No clasificable;No asalariados;2020T3;..
Ambos sexos;No clasificable;No asalariados;2020T2;..
Ambos sexos;No clasificable;No asalariados;2020T1;..
Ambos sexos;No clasificable;No asalariados;2019T4;..
Ambos sexos;No clasificable;No asalariados;2019T3;..
Ambos sexos;No clasificable;No asalariados;2019T2;..
Ambos sexos;No clasificable;No asalariados;2019T1;..
Ambos sexos;No clasificable;No asalariados;2018T4;..
Ambos sexos;No clasificable;No asalariados;2018T3;..
Ambos sexos;No clasificable;No asalariados;2018T2;..
Ambos sexos;No clasificable;No asalariados;2018T1;..
Ambos sexos;No clasificable;No asalariados;2017T4;..
Ambos sexos;No clasificable;No asalariados;2017T3;..
Ambos sexos;No clasificable;No asalariados;2017T2;..
Ambos sexos;No clasificable;No asalariados;2017T1;..
Ambos sexos;No clasificable;No asalariados;2016T4;..
Ambos sexos;No clasificable;No asalariados;2016T3;..
Ambos sexos;No clasificable;No asalariados;2016T2;..
Ambos sexos;No clasificable;No asalariados;2016T1;..
Ambos sexos;No clasificable;No asalariados;2015T4;..
Ambos sexos;No clasificable;No asalariados;2015T3;..
Ambos sexos;No clasificable;No asalariados;2015T2;..
Ambos sexos;No clasificable;No asalariados;2015T1;..
Ambos sexos;No clasificable;No asalariados;2014T4;..
Ambos sexos;No clasificable;No asalariados;2014T3;..
Ambos sexos;No clasificable;No asalariados;2014T2;..
Ambos sexos;No clasificable;No asalariados;2014T1;..
Ambos sexos;No clasificable;No asalariados;2013T4;..
Ambos sexos;No clasificable;No asalariados;2013T3;..
Ambos sexos;No clasificable;No asalariados;2013T2;..
Ambos sexos;No clasificable;No asalariados;2013T1;..
Ambos sexos;No clasificable;No asalariados;2012T4;..
Ambos sexos;No clasificable;No asalariados;2012T3;..
Ambos sexos;No clasificable;No asalariados;2012T2;..
Ambos sexos;No clasificable;No asalariados;2012T1;..
Ambos sexos;No clasificable;No asalariados;2011T4;..
Ambos sexos;No clasificable;No asalariados;2011T3;..
Ambos sexos;No clasificable;No asalariados;2011T2;..
Ambos sexos;No clasificable;No asalariados;2011T1;..
Ambos sexos;No clasificable;No asalariados;2010T4;..
Ambos sexos;No clasificable;No asalariados;2010T3;..
Ambos sexos;No clasificable;No asalariados;2010T2;..
Ambos sexos;No clasificable;No asalariados;2010T1;..
Ambos sexos;No clasificable;No asalariados;2009T4;..
Ambos sexos;No clasificable;No asalariados;2009T3;..
Ambos sexos;No clasificable;No asalariados;2009T2;..
Ambos sexos;No clasificable;No asalariados;2009T1;..
Ambos sexos;No clasificable;No asalariados;2008T4;..
Ambos sexos;No clasificable;No asalariados;2008T3;..
Ambos sexos;No clasificable;No asalariados;2008T2;..
Ambos sexos;No clasificable;No asalariados;2008T1;..
Ambos sexos;No clasificable;No asalariados;2007T4;..
Ambos sexos;No clasificable;No asalariados;2007T3;..
Ambos sexos;No clasificable;No asalariados;2007T2;..
Ambos sexos;No clasificable;No asalariados;2007T1;..
Ambos sexos;No clasificable;No asalariados;2006T4;..
Ambos sexos;No clasificable;No asalariados;2006T3;..
Ambos sexos;No clasificable;No asalariados;2006T2;..
Ambos sexos;No clasificable;No asalariados;2006T1;..
Ambos sexos;No clasificable;No asalariados;2005T4;..
Ambos sexos;No clasificable;No asalariados;2005T3;..
Ambos sexos;No clasificable;No asalariados;2005T2;..
Ambos sexos;No clasificable;No asalariados;2005T1;..
Ambos sexos;No clasificable;No asalariados;2004T4;..
Ambos sexos;No clasificable;No asalariados;2004T3;..
Ambos sexos;No clasificable;No asalariados;2004T2;..
Ambos sexos;No clasificable;No asalariados;2004T1;..
Ambos sexos;No clasificable;No asalariados;2003T4;..
Ambos sexos;No clasificable;No asalariados;2003T3;..
Ambos sexos;No clasificable;No asalariados;2003T2;..
Ambos sexos;No clasificable;No asalariados;2003T1;..
Ambos sexos;No clasificable;No asalariados;2002T4;..
Ambos sexos;No clasificable;No asalariados;2002T3;..
Ambos sexos;No clasificable;No asalariados;2002T2;..
Ambos sexos;No clasificable;No asalariados;2002T1;..
Ambos sexos;No clasificable;Total asalariados;2025T4;..
Ambos sexos;No clasificable;Total asalariados;2025T3;..
Ambos sexos;No clasificable;Total asalariados;2025T2;..
Ambos sexos;No clasificable;Total asalariados;2025T1;..
Ambos sexos;No clasificable;Total asalariados;2024T4;..
Ambos sexos;No clasificable;Total asalariados;2024T3;..
Ambos sexos;No clasificable;Total asalariados;2024T2;..
Ambos sexos;No clasificable;Total asalariados;2024T1;..
Ambos sexos;No clasificable;Total asalariados;2023T4;..
Ambos sexos;No clasificable;Total asalariados;2023T3;..
Ambos sexos;No clasificable;Total asalariados;2023T2;..
Ambos sexos;No clasificable;Total asalariados;2023T1;..
Ambos sexos;No clasificable;Total asalariados;2022T4;..
Ambos sexos;No clasificable;Total asalariados;2022T3;..
Ambos sexos;No clasificable;Total asalariados;2022T2;..
Ambos sexos;No clasificable;Total asalariados;2022T1;..
Ambos sexos;No clasificable;Total asalariados;2021T4;..
Ambos sexos;No clasificable;Total asalariados;2021T3;..
Ambos sexos;No clasificable;Total asalariados;2021T2;..
Ambos sexos;No clasificable;Total asalariados;2021T1;..
Ambos sexos;No clasificable;Total asalariados;2020T4;..
Ambos sexos;No clasificable;Total asalariados;2020T3;..
Ambos sexos;No clasificable;Total asalariados;2020T2;..
Ambos sexos;No clasificable;Total asalariados;2020T1;..
Ambos sexos;No clasificable;Total asalariados;2019T4;..
Ambos sexos;No clasificable;Total asalariados;2019T3;..
Ambos sexos;No clasificable;Total asalariados;2019T2;..
Ambos sexos;No clasificable;Total asalariados;2019T1;..
Ambos sexos;No clasificable;Total asalariados;2018T4;..
Ambos sexos;No clasificable;Total asalariados;2018T3;..
Ambos sexos;No clasificable;Total asalariados;2018T2;..
Ambos sexos;No clasificable;Total asalariados;2018T1;..
Ambos sexos;No clasificable;Total asalariados;2017T4;..
Ambos sexos;No clasificable;Total asalariados;2017T3;..
Ambos sexos;No clasificable;Total asalariados;2017T2;..
Ambos sexos;No clasificable;Total asalariados;2017T1;..
Ambos sexos;No clasificable;Total asalariados;2016T4;..
Ambos sexos;No clasificable;Total asalariados;2016T3;..
Ambos sexos;No clasificable;Total asalariados;2016T2;..
Ambos sexos;No clasificable;Total asalariados;2016T1;..
Ambos sexos;No clasificable;Total asalariados;2015T4;..
Ambos sexos;No clasificable;Total asalariados;2015T3;..
Ambos sexos;No clasificable;Total asalariados;2015T2;..
Ambos sexos;No clasificable;Total asalariados;2015T1;..
Ambos sexos;No clasificable;Total asalariados;2014T4;..
Ambos sexos;No clasificable;Total asalariados;2014T3;..
Ambos sexos;No clasificable;Total asalariados;2014T2;..
Ambos sexos;No clasificable;Total asalariados;2014T1;..
Ambos sexos;No clasificable;Total asalariados;2013T4;..
Ambos sexos;No clasificable;Total asalariados;2013T3;..
Ambos sexos;No clasificable;Total asalariados;2013T2;..
Ambos sexos;No clasificable;Total asalariados;2013T1;..
Ambos sexos;No clasificable;Total asalariados;2012T4;..
Ambos sexos;No clasificable;Total asalariados;2012T3;..
Ambos sexos;No clasificable;Total asalariados;2012T2;..
Ambos sexos;No clasificable;Total asalariados;2012T1;..
Ambos sexos;No clasificable;Total asalariados;2011T4;..
Ambos sexos;No clasificable;Total asalariados;2011T3;..
Ambos sexos;No clasificable;Total asalariados;2011T2;..
Ambos sexos;No clasificable;Total asalariados;2011T1;..
Ambos sexos;No clasificable;Total asalariados;2010T4;..
Ambos sexos;No clasificable;Total asalariados;2010T3;..
Ambos sexos;No clasificable;Total asalariados;2010T2;..
Ambos sexos;No clasificable;Total asalariados;2010T1;..
Ambos sexos;No clasificable;Total asalariados;2009T4;..
Ambos sexos;No clasificable;Total asalariados;2009T3;..
Ambos sexos;No clasificable;Total asalariados;2009T2;..
Ambos sexos;No clasificable;Total asalariados;2009T1;..
Ambos sexos;No clasificable;Total asalariados;2008T4;..
Ambos sexos;No clasificable;Total asalariados;2008T3;..
Ambos sexos;No clasificable;Total asalariados;2008T2;..
Ambos sexos;No clasificable;Total asalariados;2008T1;..
Ambos sexos;No clasificable;Total asalariados;2007T4;..
Ambos sexos;No clasificable;Total asalariados;2007T3;..
Ambos sexos;No clasificable;Total asalariados;2007T2;..
Ambos sexos;No clasificable;Total asalariados;2007T1;..
Ambos sexos;No clasificable;Total asalariados;2006T4;..
Ambos sexos;No clasificable;Total asalariados;2006T3;..
Ambos sexos;No clasificable;Total asalariados;2006T2;..
Ambos sexos;No clasificable;Total asalariados;2006T1;..
Ambos sexos;No clasificable;Total asalariados;2005T4;..
Ambos sexos;No clasificable;Total asalariados;2005T3;..
Ambos sexos;No clasificable;Total asalariados;2005T2;..
Ambos sexos;No clasificable;Total asalariados;2005T1;..
Ambos sexos;No clasificable;Total asalariados;2004T4;..
Ambos sexos;No clasificable;Total asalariados;2004T3;..
Ambos sexos;No clasificable;Total asalariados;2004T2;..
Ambos sexos;No clasificable;Total asalariados;2004T1;..
Ambos sexos;No clasificable;Total asalariados;2003T4;..
Ambos sexos;No clasificable;Total asalariados;2003T3;..
Ambos sexos;No clasificable;Total asalariados;2003T2;..
Ambos sexos;No clasificable;Total asalariados;2003T1;..
Ambos sexos;No clasificable;Total asalariados;2002T4;..
Ambos sexos;No clasificable;Total asalariados;2002T3;..
Ambos sexos;No clasificable;Total asalariados;2002T2;..
Ambos sexos;No clasificable;Total asalariados;2002T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2025T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2025T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2025T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2025T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2024T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2024T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2024T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2024T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2023T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2023T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2023T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2023T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2022T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2022T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2022T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2022T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2021T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2021T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2021T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2021T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2020T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2020T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2020T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2020T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2019T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2019T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2019T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2019T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2018T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2018T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2018T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2018T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2017T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2017T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2017T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2017T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2016T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2016T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2016T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2016T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2015T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2015T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2015T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2015T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2014T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2014T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2014T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2014T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2013T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2013T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2013T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2013T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2012T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2012T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2012T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2012T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2011T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2011T3;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2011T2;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2011T1;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2010T4;..
Ambos sexos;No clasificable;Asalariados con contrato indefinido;2010T3;..
